,count,mean,std,min,25%,50%,75%,max,beta,entropy
DISCA UW Equity,250.0,-0.0007154010246756686,0.01864168943860998,-0.09655532359081427,-0.008936275703698622,-0.0010659035075230852,0.009407008086253329,0.07142857142857145,0.8635026312670587,1.4401835995380463
USB UN Equity,250.0,0.00020122512840778877,0.00892834399954561,-0.028868360277136258,-0.004522865551337281,0.0006621517743332295,0.005724246345428385,0.03281780460203687,1.2778693180240135,1.733526415327115
MNST UW Equity,250.0,0.0013993300553479348,0.013024315429772395,-0.03352468427095279,-0.004519463652757632,0.000989764528000891,0.0064527029477690085,0.12758866936443702,0.4936390073134767,1.0889162143741673
WRK UN Equity,250.0,0.0009204714592654644,0.01257516608227445,-0.03481968378042283,-0.006594341513431051,0.0016593052295868532,0.007926077435187407,0.0448350780169859,1.5748074698941257,1.8417193428544696
PPG UN Equity,250.0,0.000868304356579145,0.010163788288668112,-0.0605633802816901,-0.003154378608765121,0.00013509815230964165,0.005690931570853475,0.060031752331811836,1.0975123285515982,1.2016866669324102
T UN Equity,250.0,-0.00034391048629653056,0.011027827915245111,-0.06101073579471061,-0.005547166143718626,0.0,0.0056085500441936074,0.04997239094422977,0.7515587951995015,1.3515212870637416
HSY UN Equity,250.0,0.00038681203577341634,0.008200087142635757,-0.052762430939226425,-0.004048634153850193,0.00045411116916338115,0.005284332506422303,0.023838921075125755,0.4563403680209148,1.414187476003954
M UN Equity,250.0,-0.0009551126659011357,0.02743200294276286,-0.1700749829584185,-0.011544722268837088,0.001183428581196196,0.011613228982580067,0.10984632896983493,1.3472318104694931,1.2593384210963032
PXD UN Equity,250.0,-0.00013927849917082374,0.018194962219324498,-0.10773565259998777,-0.008898364521871188,0.0003139319627528518,0.009801455421613025,0.05662386053629662,1.0106966837137552,1.4752648349686173
KMX UN Equity,250.0,6.5403490409773e-05,0.01479216087421199,-0.04305977710233025,-0.008444399392407756,0.00021581962009391113,0.007891171172104028,0.07771644392794878,1.234276932321656,1.572161864477994
RRC UN Equity,250.0,-0.002276754776812845,0.024837669626768144,-0.11822660098522178,-0.018018025573971773,-0.0032632985274691764,0.016101004047121795,0.068560235063663,0.9578014221743892,1.6841782917485077
AON UN Equity,250.0,0.0007443358934537378,0.0076962334396136626,-0.03326499570134251,-0.0030679599390261345,0.0013529142420914708,0.005138993016183187,0.029074381357766195,0.5698172718579727,1.62152540949248
RSG UN Equity,250.0,0.0007182930277867005,0.007223963505655825,-0.048685199098422165,-0.0030006552476124007,0.0008371220562151574,0.004528130778430391,0.028789161727349754,0.7385242339963075,1.255243517193106
AAL UW Equity,250.0,0.0006292452528066896,0.018059939587332152,-0.05323653962492439,-0.00946074032779881,0.00042457204180088346,0.011950337947174622,0.05824429080243036,1.9512146478445296,1.8668963762511037
CPRI UN Equity,250.0,0.001773793835083286,0.023172717890542045,-0.10804263565891474,-0.006711948356824516,0.0014794838189333775,0.009577901470735728,0.21541767391888272,0.6791479546572367,0.8013621686752068
VRSK UW Equity,250.0,0.0007113108151509491,0.009710597271866066,-0.06607447067413004,-0.003332971156942836,0.0012756425183936414,0.005738472074655415,0.056790123456790104,0.9387894359319127,1.0570278372092827
ILMN UW Equity,250.0,0.002220580812994494,0.01930178483016095,-0.05234416622269588,-0.007085597569186759,0.0006600500980182565,0.00807125021817381,0.16603080401299986,1.1610232151289959,1.0113745104637757
ABC UN Equity,250.0,0.000547514451648001,0.01570095428449949,-0.10474416566232062,-0.005705262107077606,0.0007088629926408278,0.008492028213164683,0.046691665658642786,1.0747885291844632,1.3541972452822189
AMT UN Equity,250.0,0.0012321220627687062,0.009914914230362466,-0.03230972773483751,-0.005159732216458988,0.0014658521474570662,0.006261195734665421,0.056720619282195656,0.25225048242645154,1.5205151977616862
SIG UN Equity,250.0,-0.0014917852547335403,0.032694323657166194,-0.3039293248945148,-0.013037985091504944,0.00235925149742693,0.013339178622981233,0.16669878589323567,0.659404714904418,0.7978675237052477
MO UN Equity,250.0,0.00027246151470727316,0.010388711558523677,-0.09491617090319086,-0.0044689409027770565,0.0004193045948587808,0.004819888081541851,0.03135287662643059,0.5127176473504966,1.093792620511933
HLT UN Equity,250.0,0.0014563453015851153,0.009999255858649607,-0.02728805764218919,-0.005385397696553574,0.0012814333811526435,0.007441584124801616,0.03658125421443024,1.1508591902876675,1.835758054535979
GILD UW Equity,250.0,-5.11454936503581e-05,0.013206570493808273,-0.08614795569533704,-0.006614687170083474,-0.00014490469994923102,0.0061775146070041954,0.07248481647742289,0.8668368795597495,1.167628319973826
LEN UN Equity,250.0,0.001636494064847898,0.012525026456628802,-0.04016537260644913,-0.005375269629965944,0.0007249185892686318,0.008240136224934583,0.059883722261530895,1.1636930773057546,1.6055903444341415
PRU UN Equity,250.0,0.00042563841066332474,0.010686891502294096,-0.043044346090427905,-0.005190173934049671,0.0002775484780916783,0.006361816889555519,0.03031686603963102,1.5434830412614204,1.7560206333232231
RE UN Equity,250.0,0.00018132152006420827,0.013116005526655023,-0.0692084708913761,-0.005913071550637486,-0.00028749543555194116,0.006068368727575143,0.060402980468233274,0.8770597727648439,1.3071420546138508
EXC UN Equity,250.0,0.0004917799573881186,0.008815214956119618,-0.02245011086474488,-0.005556592113661649,0.0005212414376210958,0.006352847478363072,0.03335186214563655,0.16993031954389914,1.8782368133006053
AMD UR Equity,250.0,0.00026673514315782407,0.036742609154746024,-0.24229074889867835,-0.015378657263033623,0.0007365429274549067,0.016372732958098817,0.1629701060752171,2.378430399287521,1.2580501146999878
BCR UN Equity,249.0,0.001593340423389193,0.013564157439982145,-0.017178552837064064,-0.0020627802690582893,0.00035646002786873733,0.0032901041333928726,0.19496581973367066,0.7560514960371532,0.5299886285445407
CHKAQ UN Equity,250.0,-0.0018005932407836778,0.02939194661408347,-0.07942973523421588,-0.021217646217646217,-0.0036755335560116438,0.015717273622047244,0.11764705882352941,1.577302293022021,1.7843126145583323
DVN UN Equity,250.0,-0.00032766086768421296,0.01932282745578512,-0.06519742883379255,-0.010606172797063489,0.0,0.011431587304451466,0.05907859078590785,1.317532983121968,1.8348607299619992
ADP UW Equity,250.0,0.0005717052387363693,0.0122474919919194,-0.06249399096240746,-0.004695923629354249,0.0005047182921053282,0.0072710289522459545,0.09105491602189084,0.9855279567051097,1.0454997232896308
WMT UN Equity,250.0,0.001518818485069933,0.011480782669920992,-0.04650868077556713,-0.0038804487050136307,0.0011666044249312932,0.00580889559558829,0.10898363575642889,0.5110797307194317,1.02993954606033
TIF UN Equity,250.0,0.001254897192418731,0.01372385864122172,-0.08707322310500322,-0.005989668832472151,0.0021655226798169645,0.009052052569301403,0.04278379920136908,1.006391965597806,1.431380020385325
REGN UW Equity,250.0,0.00012650302548136867,0.018289737457679527,-0.05838496272183138,-0.012735976918698032,-0.0006063589497218782,0.01039868388175071,0.0670220868240671,0.8139897515639833,1.7540170867135327
AXP UN Equity,250.0,0.0011385308360113,0.008237558425743847,-0.022526558300268666,-0.0031295766829121,0.0008230745856891617,0.004869121427491388,0.05916611515552613,1.1460011167929798,1.4076946587959862
NBL UN Equity,250.0,-0.0009476558676335047,0.017839984814655378,-0.07995735607675906,-0.01123824086943389,-0.0020491046911298256,0.01074139123972585,0.0711420165819737,1.2015801030366686,1.5671933768004342
FMC UN Equity,250.0,0.002151598934388135,0.015886903508836103,-0.05999672855778855,-0.004856355919567396,0.0015502176756037665,0.009093509459174387,0.13154606213669465,1.4537994070316034,1.1258951390620882
UAA UN Equity,250.0,-0.0023634604803735053,0.031527099812789464,-0.2574291637871459,-0.01418308529935844,-0.0016090942617382482,0.011040958805347315,0.09944190766108578,1.4322090196792931,1.0749123657417066
PDCO UW Equity,250.0,-0.0005370580835727853,0.01529603683136076,-0.07037974683544307,-0.007380417318361501,0.0,0.007095555139620481,0.06725543478260884,1.1957025750378214,1.4600841476312227
MLM UN Equity,250.0,9.686045270360068e-05,0.016665973561673604,-0.06386079583094116,-0.009480176024375491,-0.0008019740438395007,0.010315368354155417,0.0761879122358325,1.6327491257110713,1.5562238973057767
MPC UN Equity,250.0,0.0009650911581821239,0.012914715762021864,-0.045873249815770116,-0.007205846796525798,0.001928460226500645,0.009503986266729266,0.03489037178265011,1.361142736973671,1.891917125825571
MAS UN Equity,250.0,0.0012970539631590582,0.010681306847340633,-0.028410482488366313,-0.005329327992879464,0.0010239485753183223,0.007014119295141129,0.053382814730231154,1.3992566037259584,1.6587482370448883
COF UN Equity,250.0,0.0005397499946576104,0.0130836682869215,-0.03606821848352149,-0.0064559226806005345,-0.00012782819890074288,0.008283609059895794,0.08554499444513014,1.5848962429532611,1.4383912369211933
CMI UN Equity,250.0,0.0010035413478771049,0.01160465806153766,-0.062060750446694554,-0.003508722259554688,0.0013060440361609927,0.0066222400993791964,0.06099253287517339,1.4087144536979674,1.320463587559239
