,count,mean,std,min,25%,50%,75%,max,beta,entropy
DISCA UW Equity,249.0,0.001873004825874741,0.014364873797640905,-0.06065234939170281,-0.0056766601081233966,0.0023527553562203343,0.011387912328214154,0.040993696873368804,1.1204849827496788,1.7540661957988688
USB UN Equity,249.0,0.0006552263549720928,0.011476121958216536,-0.04853744776599158,-0.006509609423434621,0.00030284675953961264,0.008706467661691579,0.04481132075471704,1.074927218242207,1.5937388432574777
SLM UW Equity,249.0,0.0009843791485064535,0.01447977302119811,-0.0526802540657501,-0.008061433684283564,0.0,0.00950703054881493,0.04619046641905883,1.0990452781882698,1.8016941230138008
1684442D UN Equity,249.0,0.000252951491121638,0.0134556439027362,-0.04910086004691166,-0.008038854463239055,0.000168123739072043,0.00786610878661086,0.0795942925906824,1.1137144905169658,1.4160482757322643
PPG UN Equity,249.0,0.001974871397720786,0.014942525931407673,-0.043310131477184884,-0.006680097550630849,0.0012294623896278018,0.011640011356108678,0.07457529513388997,1.276188200664853,1.6269381261317921
TWC UN Equity,249.0,0.0016977446685625295,0.012170692742350336,-0.06356320668228578,-0.005504833512352454,0.0015417823003391045,0.008073940295336292,0.07813630444219369,0.7644379706968818,1.1965845339459025
HSY UN Equity,249.0,0.0007278184835295024,0.008495972267229908,-0.026933222268499205,-0.004525526799603921,0.00041367898510757224,0.0049253731343283326,0.059560122009953455,0.46157087004352637,1.3496837686091225
M UN Equity,249.0,0.0008629096332447806,0.017367873810115116,-0.055961070559610714,-0.009304603330068622,0.0011841326228537344,0.011897852582704486,0.06435513527712117,1.1853373112512477,1.7573250286478064
PXD UN Equity,249.0,0.0008389507549854612,0.023509546611001804,-0.0868665977249225,-0.015464394851375143,-0.0008225375282747099,0.016851743619715604,0.06466123137475406,2.1179169824430004,1.851297333843238
1288453D UW Equity,249.0,0.000973643274354893,0.02957286849449956,-0.1417042042042043,-0.01138065289008693,0.001337255950788905,0.0137163840587536,0.16979751158819226,0.9672360793299435,1.2053298234770833
KMX UN Equity,249.0,0.0009971197396391718,0.018269805194586788,-0.07240143369175626,-0.007972665148063612,-0.0003103662321538799,0.01040918880114857,0.09146968139773888,1.2012151275171963,1.4532948758276423
RRC UN Equity,249.0,0.0003346375434390878,0.02141283128779732,-0.06582024724356829,-0.014146341463414593,-0.0006277463904582415,0.012993421052631682,0.0921880784894483,1.253353329211894,1.6997960284441478
AON UN Equity,249.0,0.0007281353075449093,0.010573940199956867,-0.05764362220058424,-0.004933196300102816,0.0012381345439538233,0.006551059730250547,0.06110154905335636,0.8688261893106928,1.2101448402657327
MAR UN Equity,249.0,0.0009868212375590771,0.015178481494128569,-0.06442282408624778,-0.007486631016042812,0.00025458248472500026,0.009381413075344482,0.044219499200852525,1.4175069758158456,1.7126795322774886
RSG UN Equity,249.0,0.0003429695791249015,0.013279772859323639,-0.13262684649967885,-0.004543865781195352,0.0003273322422257941,0.006412540078375479,0.040912667191188,0.6816660390803546,0.9304367396924976
1566019D UN Equity,71.0,0.0029558230779914104,0.018529070096571856,-0.030819519028718195,-0.00849957210376499,0.001918859649122815,0.012765203656987117,0.07411273486430053,0.975292121182612,1.8536662031299276
T UN Equity,249.0,0.000458325327075647,0.009019981105529052,-0.03362068965517226,-0.005001667222407422,0.0009986684420772683,0.005894488653109427,0.036262659261679174,0.6212529255811311,1.627149034208739
ABC UN Equity,249.0,0.0005625895715478397,0.010662413757722351,-0.03601036269430053,-0.0070020746887967614,0.0008192244675041272,0.0077669902912621425,0.03752535496957414,0.6039483146139873,1.7842466310564529
AMT UN Equity,249.0,0.0011546199428852711,0.010760482677556981,-0.04012049842530476,-0.005864197530864128,0.0016904871676658008,0.008301674405515738,0.04406262990162107,0.6227350333549635,1.6348307443564916
