,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,251.0,0.0003424181651301824,0.010633923626740783,-0.033627717391304414,-0.006621367762672166,0.0003466204506065168,0.007535433535389284,0.03381319049213251,0.8736079264001857,1.8710485757397208
1684442D UN Equity,251.0,0.0004215785869631579,0.014666060172970754,-0.09440947797112183,-0.0077896761230266095,0.0003789314134140966,0.009112785925003962,0.0499812100714018,0.9137914408689507,1.3586657575402254
KBH UN Equity,251.0,0.0017698044176408451,0.02042573222396214,-0.06464305789769526,-0.009251404740515216,0.0006550933508024753,0.01436437610591786,0.09324590163934425,1.3008216797612135,1.6492967140802677
BK UN Equity,251.0,0.00015562989389735917,0.012846097489956129,-0.04835311458490727,-0.006601193698835937,0.0,0.008049054082373608,0.04175568238998225,1.1674778002415422,1.741631851540375
PPG UN Equity,251.0,0.00033804438416713627,0.011390579453650952,-0.02999684243763823,-0.005992071172889276,0.0,0.007324382274862175,0.03706318390398873,1.1572421008299911,1.9217512560327457
T UN Equity,251.0,1.529010475955677e-05,0.012036883605444153,-0.05038057267125772,-0.007239491842894427,0.0,0.007093827694303308,0.0507216494845361,0.8488433324021659,1.5715328907041537
HSY UN Equity,251.0,0.0015373140548901416,0.010290319415858956,-0.02419498309909268,-0.005105606756846754,0.0005462490895848714,0.006492661754256486,0.04441117764471061,0.5611842480021899,1.7837249665704502
M UN Equity,251.0,0.0010306490285024916,0.01633083212054002,-0.04225932797361363,-0.011206794761700282,0.0013966480446927431,0.011753292754770616,0.055354993983152787,1.3377906317617414,1.889057343765232
1431816D UN Equity,251.0,-0.0015238987483277766,0.02917040100504261,-0.13356164383561647,-0.018176808162569856,-0.0021141649048627216,0.017506433375106347,0.08196721311475418,2.082244304419314,1.6658303471525588
AMGN UQ Equity,251.0,0.0002101111037098843,0.014190066982322117,-0.03811380960822547,-0.009370239846644408,0.0,0.008869747667422365,0.06510274595380976,1.1568403497432336,1.7061232501710144
RBK UN Equity,251.0,0.0005816728135408644,0.014372889410071163,-0.09175405147759774,-0.007249698243298453,0.00142213794738095,0.010315680113805046,0.04764910066266966,0.9496669419062884,1.400822788862728
KRB UN Equity,251.0,0.0006394909944565637,0.014145339094274177,-0.048815506101938244,-0.008229939141430644,0.002053388090348959,0.010245526743565311,0.03653136531365308,1.3234543696667753,1.9078900771923408
2942331Q UN Equity,251.0,0.001074325082226987,0.012995502117721009,-0.041150807687772774,-0.006364885718255642,-0.00012353304508962466,0.009031153632501763,0.050186994812401936,1.0852990164797083,1.7564991879696739
0111145D UN Equity,251.0,0.0004142351296792983,0.009741526108651949,-0.034462616822429896,-0.005836261183153821,0.0,0.006304422180253344,0.032129742962056215,0.6685191860788937,1.8172124917308254
1524867D UN Equity,251.0,0.0012541498491471304,0.019659275189238896,-0.0730348258706468,-0.011047365847850644,0.0006746120980436505,0.015425787121126825,0.07135135135135137,0.6925907996859137,1.7071449912278263
SANM UQ Equity,251.0,-0.0010708090854899834,0.03163177540872117,-0.08791208791208799,-0.019685098015849348,0.0,0.018095597800998783,0.14524043179587823,2.549145320074895,1.7053673533477358
TMO UN Equity,251.0,0.0008556559029648296,0.014832736774500413,-0.039382239382239365,-0.006756990687507089,0.0003816793893130368,0.008316073103835862,0.09022556390977438,1.4207007959529,1.5046540556209826
AON UN Equity,251.0,0.00014683303484742634,0.01862796531239881,-0.1619667389732466,-0.006188890233980166,0.0020876826722338996,0.00790783677627687,0.09674134419551927,1.0859873589542723,0.8825343762631589
MAR UN Equity,251.0,0.001302529648206124,0.01129917471317562,-0.038065211082637815,-0.004330867653327796,0.001033425193350612,0.006531613817635975,0.07888248602865809,0.945770416891143,1.320535936085003
MHS UN Equity,251.0,0.0010613048440809394,0.018191065444004055,-0.09517045454545457,-0.008049410020967998,0.001538856116952941,0.011077997052684665,0.0594467333725722,1.0272130458410598,1.5218609668946106
PWER UQ Equity,251.0,-0.0003122747102039865,0.03150690345550697,-0.08574380165289257,-0.01986486412432934,0.0,0.01935483870967747,0.11481768813033348,2.7927973939317186,1.8542346073879057
KRI UN Equity,251.0,-0.0005021613288641058,0.00884960483421451,-0.02176955372414874,-0.0057556891022400684,-0.0006564264145988861,0.0039760491274629705,0.03672354948805458,0.6406833587063859,1.7804053515145135
CMX UN Equity,251.0,0.001954623009159131,0.017990769668417658,-0.08708133971291868,-0.008199461812777285,0.0012376237623762112,0.010660621656505945,0.09075043630017457,1.0567086159346024,1.3608113487153846
4621824Q UN Equity,251.0,0.0009425566542432612,0.010294675780302258,-0.04067211055276376,-0.005370309396745034,0.0001613163413453462,0.00801599790191452,0.033402922755740985,0.55528861123157,1.709991976248013
FITB UQ Equity,251.0,-0.0007778573803224989,0.011677075665975211,-0.07142857142857138,-0.006670049310408053,-0.0005821851348729116,0.005486550337360844,0.026400000000000007,0.7885152022518329,1.491487606930984
ABC UN Equity,251.0,0.0004415990597988395,0.014831250499963523,-0.07934080982802291,-0.006983284013123781,0.00017842141651734297,0.007685513348814881,0.05619909999764399,0.9144148516073496,1.4084443066658803
1799685D UN Equity,251.0,0.000735201556243846,0.014298273701913118,-0.047579529737206055,-0.007577667614045635,0.002093023255814033,0.010255656086615642,0.04303510758776906,0.8367069822006158,1.8464186128762687
YUM UN Equity,251.0,0.001454115500183475,0.013723771925411195,-0.03468477728056158,-0.006356698873067269,0.00043244022414824193,0.006820908666396256,0.09418363651773266,0.9128978652533202,1.4317543030304216
MO UN Equity,251.0,0.0005454212661732177,0.014195884112671552,-0.08942149339500328,-0.005855113627775778,0.0004905515505694597,0.006434563767938458,0.08459345027218519,0.7555532584798654,1.0628178228212768
ZBH UN Equity,251.0,0.0007070165416293442,0.018451697886319857,-0.0648910411622276,-0.010677318296698116,0.0,0.011966445325812333,0.07769600905745838,1.50515057909031,1.6599114451051458
QCOM UQ Equity,251.0,0.0019974122343882315,0.018676751670028042,-0.04718693284936475,-0.01109585029451176,0.0005846243788364811,0.013777333781595208,0.07209336681932332,1.4250538299121298,1.8372094397961907
ADI UN Equity,251.0,-0.0006434644610147802,0.020719896696086943,-0.053706293706293755,-0.013527868985778372,0.0,0.011277440953464557,0.05668733392382645,1.6107397824884333,2.033168511178427
MEL UN Equity,251.0,-4.341428554337299e-05,0.01248236303522077,-0.03621853898096991,-0.00779716487602556,0.00032154340836006466,0.008087565538210256,0.03407841700256503,1.273300960119258,1.9906303508044103
CMCSA UQ Equity,251.0,0.00015828574223333082,0.015147559774862767,-0.08146788667025485,-0.008397595565108204,-0.00034147860234808535,0.009128090897392539,0.04927025281114157,1.018028643376719,1.5332706052267766
PRU UN Equity,251.0,0.0011584770012396102,0.01266888941788895,-0.045424181696726774,-0.006636195566758648,0.0009163802978235773,0.00812043289456241,0.040213854021385324,1.123102057728581,1.7632426832034493
RDC UN Equity,251.0,0.0006570748139172926,0.018010637666884325,-0.059768064228367675,-0.01103380321550905,0.00042517006802727733,0.012687088150658207,0.057977528089887605,0.7130511324079997,1.8322345361272534
TRB UN Equity,251.0,-0.0007372212697939006,0.009769176472771191,-0.05019379844961247,-0.006500684964184197,-0.001149954001839861,0.00472249895404748,0.03256379100850555,0.623073004065029,1.5349076121065472
EXC UN Equity,251.0,0.0012035477894317271,0.010065133784671202,-0.02788150360965906,-0.005188471032092454,0.0004535147392290421,0.00805297872078776,0.03283672848890235,0.5054962440517877,1.9202207733415126
9876544D UN Equity,251.0,0.0001265119825021732,0.021519554785070335,-0.0937776467118843,-0.011797729852941837,-0.001546072974644535,0.01203062979617955,0.06536420646406177,0.9871064285157779,1.6392500950851165
BCR UN Equity,251.0,0.0018932299172668317,0.01410842971674271,-0.032170119956379556,-0.0065191371547051215,0.000326370757180169,0.00814939435297952,0.08508728179551123,0.5759762983010781,1.4924536040437102
ORCL UQ Equity,251.0,0.00032637741266663137,0.0188603173774873,-0.046641791044776115,-0.01193904861780157,0.000834028356964119,0.011513542038836509,0.10248681235870394,1.4483258374300252,1.5782987649959876
1649858D UQ Equity,251.0,0.0012602998958367926,0.011479067354042204,-0.035846994535519136,-0.005607454913945546,0.0013126230584117758,0.007727516853199322,0.04784688995215311,0.702213690299753,1.6878367507750345
0574018D UN Equity,251.0,0.0013621280793345925,0.013029797731379697,-0.050367261280167934,-0.0055815074976213195,0.0011173184357540999,0.009850022216994684,0.03534529635671553,0.6222312484589222,1.8277313925841518
ADP UN Equity,251.0,0.0004985773735861678,0.012972141120966835,-0.03855421686746987,-0.0073085566083619,-0.0006873833123138266,0.007309312352677917,0.06918213080202198,0.888551469436545,1.544519589092549
723588Q UN Equity,251.0,0.0003371986031413143,0.01901682887070215,-0.05147058823529418,-0.009130534834482923,-0.001151631477927107,0.0088963062138692,0.16965456930476602,1.5256915511629647,1.1845531509503233
DVN UN Equity,56.0,0.0010330901820672404,0.01587262919561184,-0.036156763590391904,-0.008272775023687246,0.003867379756919043,0.012212350149008216,0.02913385826771652,0.39848408555185455,2.1372361802551003
TIF UN Equity,251.0,-0.000984100910602917,0.022076590037813714,-0.14779874213836475,-0.0122663921444409,-0.00129073894804773,0.0099903968505369,0.08029381965552183,1.5608678092109793,1.309328255953261
MWW UQ Equity,251.0,0.0020278354064123035,0.02782123197587516,-0.10840377921432122,-0.015432739244452038,0.0024424284717376233,0.020085508665449114,0.089399120664387,2.2451083646926993,1.7537756635595236
AXP UN Equity,251.0,0.0006981881795545678,0.008595882996745446,-0.031129355965052202,-0.004449997091050182,0.00017872266101796378,0.006021595036538874,0.024120178375424153,0.8300281316775779,1.8320593253613584
BRCM UQ Equity,251.0,0.0001911621842921756,0.029712977583025598,-0.13324275228544852,-0.01766905841090602,-0.0005097093890002789,0.017711258800498633,0.11340782350805471,2.2613340952877197,1.5581044242756192
DYNIQ UN Equity,251.0,0.00043228478792480484,0.027203554506523973,-0.12579957356076757,-0.013939557474365927,0.0,0.014501940802518792,0.10659898477157367,1.2055786413671847,1.515611245511622
GILD UQ Equity,251.0,0.0009876807001175133,0.021956941754090197,-0.09989501312335954,-0.01111912958566832,0.0010604841658744778,0.014748990027403541,0.08638655462184874,1.5885325882444779,1.5306556325658662
