,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,251.0,0.0014099262770782461,0.014039051612170112,-0.043307285356594824,-0.007198107320451644,0.0016027987958669165,0.010217879106175085,0.0544659634942069,1.0148722566666015,1.7779656675329423
1684442D UN Equity,251.0,0.002019278122014087,0.019564100477837115,-0.07728155339805819,-0.00852380208880995,0.0,0.01122445473479435,0.1589195979899497,0.9509225240955447,1.136502874942489
KBH UN Equity,251.0,0.002098116690473137,0.022674834373325528,-0.08148677626876344,-0.011143027156043029,0.0016243354991139906,0.015962608079944107,0.08255250403877232,1.193298672364009,1.7244170294246246
PPG UN Equity,251.0,0.0009581090112153038,0.014505397438816476,-0.04680936187237454,-0.009209813409078664,0.000615132253434366,0.010174968884193203,0.05419654154365247,1.044394970174862,1.7866694403776036
T UN Equity,251.0,-0.0001901820973734679,0.021136915005082527,-0.07511940946591404,-0.012570030641531865,0.0004248088360238557,0.011281357393022344,0.0910910910910911,1.1314986681112014,1.651781562479241
HSY UN Equity,251.0,0.0005571516486835619,0.009157250294640765,-0.029257314328582185,-0.004608361260437805,0.0003106554830694351,0.005419859618287343,0.032417757904822875,0.4929116471066359,1.7507969227231115
M UN Equity,251.0,0.001983135583723103,0.018787766461123758,-0.05844810211622434,-0.008873425879773692,0.0015751575157515816,0.013835002127890326,0.07091055600322313,1.2410542334743535,1.77255582209176
1431816D UN Equity,251.0,0.0021114324048201088,0.03436638198189735,-0.17288135593220347,-0.02010507173166292,0.0008658008658008473,0.026122179307874922,0.11764705882352941,1.8621767047060036,1.5712919920388366
AMGN UQ Equity,251.0,0.0010243284527443304,0.01585279053079871,-0.05189495203648379,-0.009466642948533381,0.0001636125654451099,0.012850212976170367,0.04590916543695683,0.924692089018828,1.9151509464601606
RBK UN Equity,251.0,0.0010710304539600566,0.014771676541532108,-0.032298136645962816,-0.00899440638557801,-0.00032206119162645933,0.009393790982457809,0.05483186913056657,0.7883175459489682,1.9139543536224233
KRB UN Equity,251.0,0.0011387853399898523,0.024531519150407514,-0.12121212121212122,-0.013096594867471032,0.001381215469613312,0.013219963892609536,0.13777777777777775,1.6332833145943444,1.3452017888461252
CR UN Equity,251.0,0.001815701448362287,0.02027311161951077,-0.1623711340206185,-0.008665902397627174,0.0017921146953405699,0.011924374362595084,0.08090614886731393,1.2867153599646168,1.119784726201101
2942331Q UN Equity,251.0,0.0011729805398821302,0.015905941850293145,-0.04949381327334093,-0.008848268034874682,0.0006605019815059069,0.011020489035945881,0.05146957361666902,1.1601993204497618,1.8558181771815572
0111145D UN Equity,251.0,3.376435815331216e-05,0.016803216995660602,-0.12412780022034517,-0.007610651928710144,0.0008643042350907847,0.008526610891105405,0.05534591194968554,0.7351853840648402,1.2576287995880038
1524867D UN Equity,251.0,0.0004974916553570972,0.021572739242783974,-0.061650331963325936,-0.014081546555489335,0.0,0.013911770916251554,0.06263858093126401,0.3637360520724018,1.9532765619664172
SANM UQ Equity,251.0,0.004859447884356526,0.03899506393193034,-0.10208333333333337,-0.016272889835947078,0.004705882352941215,0.028018210231124406,0.1333333333333332,2.129163101536998,1.857979072816608
TMO UN Equity,251.0,0.0009723286322348906,0.01583609656291507,-0.09864797195793686,-0.007185627378504509,-0.00039984006397447274,0.011272713377788526,0.04765993988836408,1.0008387326980628,1.4454280201312606
AON UN Equity,251.0,0.0009740867372914032,0.018518894243096225,-0.0763157894736843,-0.009255500274485837,0.0009203865623561699,0.01137947852509184,0.0759002770083103,1.0749953966209866,1.6090347254629465
MAR UN Equity,251.0,0.001365077180239859,0.017160196340319865,-0.08658139105836048,-0.00762359799491278,0.0,0.01007617208263679,0.06536594314466727,1.205863392972464,1.4621887780593341
MHS UN Equity,100.0,0.005420667388115517,0.027089720404315752,-0.05695364238410592,-0.007679352732828654,0.003817192054641728,0.01575324739554585,0.1439024390243902,0.5578116768483107,1.5341696209519948
PWER UQ Equity,251.0,0.0031953391405303115,0.04488251803258587,-0.17876106194690275,-0.023890606420927434,0.002155172413793249,0.027795259584502137,0.2172413793103449,2.236750805629831,1.495423333800701
KRI UN Equity,251.0,0.0007456364533419196,0.012310334616419661,-0.03443328550932563,-0.006134526972187955,0.00028826751225151674,0.00790110332225355,0.05129490392648288,0.8615378791588016,1.7467280188416916
MEDI UQ Equity,251.0,-8.160393079752334e-05,0.024141427062787827,-0.06742443812968224,-0.016952705535494484,-0.0006635700066356859,0.014992181797641835,0.07160096540627518,1.0092544108477417,1.9181788514789988
FITB UQ Equity,251.0,1.0212098480919777e-05,0.01417603277690537,-0.04399042886066631,-0.007790530652981709,0.000609508329947199,0.007832998909544196,0.042004687218316177,0.8800551796983819,1.9054852239479725
ABC UN Equity,251.0,9.802852769778322e-05,0.020067715261587713,-0.11574840464551642,-0.011865205443813122,0.0,0.01184777636646986,0.07659079945621193,0.697316383806795,1.3964856592013433
1799685D UN Equity,251.0,0.0007038623124714699,0.012444065591714543,-0.048957675300063196,-0.007513265982699326,0.00032154340836006466,0.007055453484057268,0.04102735156771182,0.5484350530418952,1.7057372103565094
YUM UN Equity,251.0,0.001380641921339019,0.016048341027676695,-0.05164293892717487,-0.007686856047455926,0.0009591133529892098,0.01015534890724569,0.06410393562267458,0.7804200400486428,1.692103142478528
MO UN Equity,251.0,0.0013908363231842104,0.02003087698494414,-0.06754249139414802,-0.006892365806410018,0.00039747688585500194,0.009934812838986498,0.10355689863212626,0.57447142391111,1.4316863685038428
