,coef,std err,t,P>|t|,[0.025,0.975]
2007 beta:Cluster[Cluster 10],0.0003,0.0,0.958,0.33799999999999997,-0.0,0.001
2007 beta:Cluster[Cluster 2],0.0009,0.001,1.483,0.139,-0.0,0.002
2007 beta:Cluster[Cluster 3],4.103e-05,0.0,0.166,0.868,-0.0,0.001
2007 beta:Cluster[Cluster 4],0.0013,0.0,5.55,0.0,0.001,0.002
2007 beta:Cluster[Cluster 5],0.0001,0.0,0.38799999999999996,0.698,-0.001,0.001
2007 beta:Cluster[Cluster 6],-0.0002,0.0,-1.022,0.307,-0.001,0.0
2007 beta:Cluster[Cluster 7],-0.0008,0.0,-3.366,0.001,-0.001,-0.0
2007 beta:Cluster[Cluster 8],-0.0007,0.0,-2.231,0.026000000000000002,-0.001,-7.780000000000001e-05
2007 beta:Cluster[Cluster 9],-0.0013,0.0,-7.718,0.0,-0.002,-0.001
2007 Intercept,-0.0002,0.0,-0.613,0.54,-0.001,0.0
2007 beta:GICS_SECTOR_NAME[Communication Services],-0.0002,0.0,-0.423,0.6729999999999999,-0.001,0.001
2007 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0005,0.0,-1.871,0.062,-0.001,2.4e-05
2007 beta:GICS_SECTOR_NAME[Consumer Staples],0.0005,0.0,1.139,0.256,-0.0,0.001
2007 beta:GICS_SECTOR_NAME[Energy],0.0018,0.0,6.263,0.0,0.001,0.002
2007 beta:GICS_SECTOR_NAME[Financials],-0.0004,0.0,-2.14,0.033,-0.001,-3.53e-05
2007 beta:GICS_SECTOR_NAME[Health Care],0.0008,0.0,2.043,0.042,3.06e-05,0.002
2007 beta:GICS_SECTOR_NAME[Industrials],0.0009,0.0,3.445,0.001,0.0,0.001
2007 beta:GICS_SECTOR_NAME[Information Technology],0.0004,0.0,1.273,0.204,-0.0,0.001
2007 beta:GICS_SECTOR_NAME[Materials],0.0007,0.0,2.4659999999999997,0.013999999999999999,0.0,0.001
2007 beta:GICS_SECTOR_NAME[Real Estate],-0.0005,0.0,-1.642,0.10099999999999999,-0.001,8.94e-05
2007 beta:GICS_SECTOR_NAME[Utilities],0.0006,0.0,1.75,0.081,-8e-05,0.001
2007 Intercept,0.0002,0.0,1.0,0.318,-0.0,0.001
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0005,0.0,-1.297,0.195,-0.001,0.0
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.001,0.0,-4.236000000000001,0.0,-0.001,-0.001
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0002,0.0,-0.539,0.59,-0.001,0.0
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0014,0.0,5.412999999999999,0.0,0.001,0.002
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0009,0.0,-4.816,0.0,-0.001,-0.001
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0003,0.0,0.7340000000000001,0.46299999999999997,-0.0,0.001
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0006,0.0,2.362,0.019,9.83e-05,0.001
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0003,0.0,1.364,0.17300000000000001,-0.0,0.001
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0007,0.0,-2.531,0.012,-0.001,-0.0
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0003,0.0,-1.147,0.252,-0.001,0.0
2007 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0003,0.0,0.807,0.42,-0.0,0.001
2008 Intercept,0.0003,0.0,1.5490000000000002,0.122,-9.37e-05,0.001
2008 beta:Cluster[Cluster 0],-0.0009,0.0,-4.16,0.0,-0.001,-0.0
2008 beta:Cluster[Cluster 1],-0.0023,0.0,-8.071,0.0,-0.003,-0.002
2008 beta:Cluster[Cluster 10],-0.0018,0.0,-7.287999999999999,0.0,-0.002,-0.001
2008 beta:Cluster[Cluster 2],-0.0011,0.0,-3.968,0.0,-0.002,-0.001
2008 beta:Cluster[Cluster 3],-0.0014,0.0,-6.954,0.0,-0.002,-0.001
2008 beta:Cluster[Cluster 4],-0.0017,0.0,-4.271,0.0,-0.002,-0.001
2008 beta:Cluster[Cluster 5],-0.0011,0.0,-3.845,0.0,-0.002,-0.001
2008 beta:Cluster[Cluster 6],-0.0019,0.0,-4.779,0.0,-0.003,-0.001
2008 beta:Cluster[Cluster 7],-0.0017,0.0,-7.648,0.0,-0.002,-0.001
2008 beta:Cluster[Cluster 8],-0.0009,0.0,-4.626,0.0,-0.001,-0.0
2008 beta:Cluster[Cluster 9],-0.0012,0.0,-4.2669999999999995,0.0,-0.002,-0.001
2008 Intercept,0.0011,0.0,3.8760000000000003,0.0,0.001,0.002
2008 beta:GICS_SECTOR_NAME[Communication Services],-0.0028,0.0,-7.236000000000001,0.0,-0.004,-0.002
2008 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.002,0.0,-7.046,0.0,-0.003,-0.001
2008 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0031,0.001,-6.063,0.0,-0.004,-0.002
2008 beta:GICS_SECTOR_NAME[Energy],-0.0018,0.0,-7.388,0.0,-0.002,-0.001
2008 beta:GICS_SECTOR_NAME[Financials],-0.0014,0.0,-7.479,0.0,-0.002,-0.001
2008 beta:GICS_SECTOR_NAME[Health Care],-0.0029,0.0,-6.7989999999999995,0.0,-0.004,-0.002
2008 beta:GICS_SECTOR_NAME[Industrials],-0.0023,0.0,-7.407,0.0,-0.003,-0.002
2008 beta:GICS_SECTOR_NAME[Information Technology],-0.0027,0.0,-8.824,0.0,-0.003,-0.002
2008 beta:GICS_SECTOR_NAME[Materials],-0.0022,0.0,-7.462000000000001,0.0,-0.003,-0.002
2008 beta:GICS_SECTOR_NAME[Real Estate],-0.0013,0.0,-4.854,0.0,-0.002,-0.001
2008 beta:GICS_SECTOR_NAME[Utilities],-0.0025,0.0,-5.695,0.0,-0.003,-0.002
2008 Intercept,0.0008,0.0,3.3,0.001,0.0,0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0026,0.0,-7.945,0.0,-0.003,-0.002
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0018,0.0,-7.108,0.0,-0.002,-0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0023,0.0,-5.3,0.0,-0.003,-0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0018,0.0,-7.627999999999999,0.0,-0.002,-0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0012,0.0,-7.216,0.0,-0.002,-0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0026,0.0,-6.557,0.0,-0.003,-0.002
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0022,0.0,-7.385,0.0,-0.003,-0.002
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0019,0.0,-7.172999999999999,0.0,-0.002,-0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0011,0.0,-4.541,0.0,-0.002,-0.001
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0024,0.0,-8.238999999999999,0.0,-0.003,-0.002
2008 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0024,0.0,-6.007000000000001,0.0,-0.003,-0.002
2009 Intercept,-0.0002,0.0,-1.216,0.225,-0.001,0.0
2009 beta:Cluster[Cluster 0],0.0011,0.001,2.235,0.026000000000000002,0.0,0.002
2009 beta:Cluster[Cluster 1],0.0014,0.0,9.56,0.0,0.001,0.002
2009 beta:Cluster[Cluster 10],0.0015,0.0,4.382,0.0,0.001,0.002
2009 beta:Cluster[Cluster 2],0.0028,0.001,2.062,0.04,0.0,0.005
2009 beta:Cluster[Cluster 3],0.0014,0.0,9.168,0.0,0.001,0.002
2009 beta:Cluster[Cluster 4],0.0011,9.15e-05,11.835,0.0,0.001,0.001
2009 beta:Cluster[Cluster 5],0.002,0.0,10.081,0.0,0.002,0.002
2009 beta:Cluster[Cluster 6],0.0019,0.0,9.062000000000001,0.0,0.001,0.002
2009 beta:Cluster[Cluster 7],0.0023,0.0,10.354000000000001,0.0,0.002,0.003
2009 beta:Cluster[Cluster 8],0.0021,0.0,6.281000000000001,0.0,0.001,0.003
2009 beta:Cluster[Cluster 9],0.0011,0.0,2.363,0.019,0.0,0.002
2009 Intercept,-0.0004,0.0,-2.674,0.008,-0.001,-0.0
2009 beta:GICS_SECTOR_NAME[Communication Services],0.0016,0.0,7.69,0.0,0.001,0.002
2009 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.002,0.0,12.979000000000001,0.0,0.002,0.002
2009 beta:GICS_SECTOR_NAME[Consumer Staples],0.0022,0.0,5.867999999999999,0.0,0.001,0.003
2009 beta:GICS_SECTOR_NAME[Energy],0.0016,0.0,9.023,0.0,0.001,0.002
2009 beta:GICS_SECTOR_NAME[Financials],0.0012,8.96e-05,13.03,0.0,0.001,0.001
2009 beta:GICS_SECTOR_NAME[Health Care],0.0026,0.0,9.038,0.0,0.002,0.003
2009 beta:GICS_SECTOR_NAME[Industrials],0.0013,0.0,7.315,0.0,0.001,0.002
2009 beta:GICS_SECTOR_NAME[Information Technology],0.0023,0.0,12.144,0.0,0.002,0.003
2009 beta:GICS_SECTOR_NAME[Materials],0.0018,0.0,10.012,0.0,0.001,0.002
2009 beta:GICS_SECTOR_NAME[Real Estate],0.0013,0.0,8.732000000000001,0.0,0.001,0.002
2009 beta:GICS_SECTOR_NAME[Utilities],0.0015,0.0,3.972,0.0,0.001,0.002
2009 Intercept,-0.0005,0.0,-3.0039999999999996,0.003,-0.001,-0.0
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0019,0.0,9.331,0.0,0.001,0.002
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0019,0.0,12.578,0.0,0.002,0.002
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0022,0.0,6.601,0.0,0.002,0.003
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0015,0.0,8.806000000000001,0.0,0.001,0.002
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0011,8.73e-05,13.007,0.0,0.001,0.001
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0026,0.0,9.594,0.0,0.002,0.003
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0013,0.0,7.847,0.0,0.001,0.002
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0018,0.0,11.140999999999998,0.0,0.001,0.002
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0012,0.0,9.009,0.0,0.001,0.001
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0025,0.0,13.309000000000001,0.0,0.002,0.003
2009 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0015,0.0,4.192,0.0,0.001,0.002
2010 Intercept,0.0011,0.0,5.649,0.0,0.001,0.001
2010 beta:Cluster[Cluster 0],-0.0013,0.0,-4.481,0.0,-0.002,-0.001
2010 beta:Cluster[Cluster 1],-0.0015,0.0,-6.683,0.0,-0.002,-0.001
2010 beta:Cluster[Cluster 10],-0.0015,0.0,-4.923,0.0,-0.002,-0.001
2010 beta:Cluster[Cluster 2],-0.0019,0.0,-3.79,0.0,-0.003,-0.001
2010 beta:Cluster[Cluster 3],-0.0022,0.0,-5.528,0.0,-0.003,-0.001
2010 beta:Cluster[Cluster 4],-0.0024,0.0,-6.6339999999999995,0.0,-0.003,-0.002
2010 beta:Cluster[Cluster 5],-0.0016,0.0,-4.013,0.0,-0.002,-0.001
2010 beta:Cluster[Cluster 6],-0.0024,0.001,-4.296,0.0,-0.003,-0.001
2010 beta:Cluster[Cluster 7],-0.0014,0.0,-7.187,0.0,-0.002,-0.001
2010 beta:Cluster[Cluster 8],-0.0017,0.0,-7.138999999999999,0.0,-0.002,-0.001
2010 beta:Cluster[Cluster 9],-0.0015,0.0,-6.041,0.0,-0.002,-0.001
2010 Intercept,0.0011,0.0,5.726,0.0,0.001,0.001
2010 beta:GICS_SECTOR_NAME[Communication Services],-0.0014,0.0,-4.856,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0017,0.0,-6.47,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Consumer Staples],-0.0025,0.001,-4.808,0.0,-0.004,-0.001
2010 beta:GICS_SECTOR_NAME[Energy],-0.0012,0.0,-4.446000000000001,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Financials],-0.0014,0.0,-6.517,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Health Care],-0.0021,0.0,-6.468999999999999,0.0,-0.003,-0.001
2010 beta:GICS_SECTOR_NAME[Industrials],-0.0014,0.0,-5.441,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Information Technology],-0.0015,0.0,-7.327999999999999,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Materials],-0.0013,0.0,-4.39,0.0,-0.002,-0.001
2010 beta:GICS_SECTOR_NAME[Real Estate],-0.0018,0.001,-2.371,0.019,-0.003,-0.0
2010 beta:GICS_SECTOR_NAME[Utilities],-0.0022,0.0,-6.9879999999999995,0.0,-0.003,-0.002
2010 Intercept,0.0011,0.0,5.562,0.0,0.001,0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0012,0.0,-4.505,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0017,0.0,-6.401,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0019,0.0,-4.295,0.0,-0.003,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0015,0.0,-5.8870000000000005,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0014,0.0,-6.314,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.002,0.0,-6.215,0.0,-0.003,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.0013,0.0,-5.102,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0013,0.0,-4.14,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0017,0.001,-2.1919999999999997,0.028999999999999998,-0.003,-0.0
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0015,0.0,-7.827999999999999,0.0,-0.002,-0.001
2010 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0022,0.0,-7.119,0.0,-0.003,-0.002
2011 Intercept,0.0015,0.0,8.974,0.0,0.001,0.002
2011 beta:Cluster[Cluster 0],-0.0013,0.0,-6.21,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 1],-0.0013,0.0,-5.473,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 10],-0.0015,0.0,-7.812,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 2],-0.0013,0.0,-6.636,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 3],-0.0012,0.0,-8.234,0.0,-0.001,-0.001
2011 beta:Cluster[Cluster 4],-0.001,0.0,-7.505,0.0,-0.001,-0.001
2011 beta:Cluster[Cluster 5],-0.0013,0.0,-7.216,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 7],-0.0016,0.0,-4.034,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 8],-0.0015,0.0,-4.5360000000000005,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster 9],-0.0015,0.0,-10.731,0.0,-0.002,-0.001
2011 beta:Cluster[Cluster_NO_MAP_Cluster 6],-0.0012,0.001,-1.703,0.08900000000000001,-0.003,0.0
2011 Intercept,0.0012,0.0,7.827999999999999,0.0,0.001,0.002
2011 beta:GICS_SECTOR_NAME[Communication Services],-0.001,0.0,-4.811,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Consumer Discretionary],-0.0008,0.0,-5.022,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Consumer Staples],-0.001,0.0,-3.565,0.0,-0.002,-0.0
2011 beta:GICS_SECTOR_NAME[Energy],-0.0008,0.0,-6.034,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Financials],-0.0013,0.0,-10.269,0.0,-0.002,-0.001
2011 beta:GICS_SECTOR_NAME[Health Care],-0.0009,0.0,-4.6,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Industrials],-0.001,0.0,-6.596,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Information Technology],-0.0012,0.0,-7.894,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Materials],-0.0012,0.0,-7.212000000000001,0.0,-0.001,-0.001
2011 beta:GICS_SECTOR_NAME[Real Estate],-0.0008,0.0,-3.948,0.0,-0.001,-0.0
2011 beta:GICS_SECTOR_NAME[Utilities],-0.0009,0.0,-3.0989999999999998,0.002,-0.002,-0.0
2011 Intercept,0.0012,0.0,7.843999999999999,0.0,0.001,0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.001,0.0,-5.074,0.0,-0.001,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],-0.0009,0.0,-5.2379999999999995,0.0,-0.001,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0009,0.0,-3.5389999999999997,0.0,-0.001,-0.0
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-0.0008,0.0,-5.393,0.0,-0.001,-0.0
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0013,0.0,-10.463,0.0,-0.002,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0009,0.0,-4.865,0.0,-0.001,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-0.001,0.0,-6.521,0.0,-0.001,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],-0.0013,0.0,-8.397,0.0,-0.002,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],-0.0008,0.0,-3.9210000000000003,0.0,-0.001,-0.0
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0011,0.0,-7.024,0.0,-0.001,-0.001
2011 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-0.0009,0.0,-2.984,0.003,-0.001,-0.0
2012 Intercept,-1.963e-05,0.0,-0.161,0.872,-0.0,0.0
2012 beta:Cluster[Cluster 0],-7.894e-05,0.0,-0.5329999999999999,0.594,-0.0,0.0
2012 beta:Cluster[Cluster 1],0.0008,0.0,4.702,0.0,0.0,0.001
2012 beta:Cluster[Cluster 10],0.0005,0.0,4.968,0.0,0.0,0.001
2012 beta:Cluster[Cluster 2],5.342e-05,0.0,0.46399999999999997,0.643,-0.0,0.0
2012 beta:Cluster[Cluster 3],0.001,0.0,5.125,0.0,0.001,0.001
2012 beta:Cluster[Cluster 4],0.0003,0.0,2.555,0.011000000000000001,6.91e-05,0.001
2012 beta:Cluster[Cluster 5],0.0006,0.0,5.5920000000000005,0.0,0.0,0.001
2012 beta:Cluster[Cluster 6],0.0015,0.0,6.691,0.0,0.001,0.002
2012 beta:Cluster[Cluster 7],8.471e-05,0.0,0.215,0.83,-0.001,0.001
2012 beta:Cluster[Cluster 8],0.0014,0.0,6.111000000000001,0.0,0.001,0.002
2012 beta:Cluster[Cluster 9],0.0009,0.0,6.3389999999999995,0.0,0.001,0.001
2012 Intercept,0.0002,0.0,1.3090000000000002,0.191,-8.379999999999999e-05,0.0
2012 beta:GICS_SECTOR_NAME[Communication Services],0.0006,0.0,3.09,0.002,0.0,0.001
2012 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0006,0.0,4.298,0.0,0.0,0.001
2012 beta:GICS_SECTOR_NAME[Consumer Staples],0.0004,0.0,1.655,0.098,-7.85e-05,0.001
2012 beta:GICS_SECTOR_NAME[Energy],1.806e-05,0.0,0.151,0.88,-0.0,0.0
2012 beta:GICS_SECTOR_NAME[Financials],0.0005,0.0,4.497,0.0,0.0,0.001
2012 beta:GICS_SECTOR_NAME[Health Care],0.0006,0.0,3.2439999999999998,0.001,0.0,0.001
2012 beta:GICS_SECTOR_NAME[Industrials],0.0004,0.0,2.594,0.01,8.57e-05,0.001
2012 beta:GICS_SECTOR_NAME[Information Technology],0.0002,0.0,2.0540000000000003,0.04,1.07e-05,0.0
2012 beta:GICS_SECTOR_NAME[Materials],0.0002,0.0,1.78,0.076,-2.58e-05,0.001
2012 beta:GICS_SECTOR_NAME[Real Estate],0.0006,0.0,2.43,0.015,0.0,0.001
2012 beta:GICS_SECTOR_NAME[Utilities],-0.0001,0.0,-0.29600000000000004,0.768,-0.001,0.001
2012 Intercept,0.0002,0.0,1.22,0.223,-9.54e-05,0.0
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0009,0.0,4.78,0.0,0.001,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0006,0.0,4.435,0.0,0.0,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0004,0.0,1.547,0.12300000000000001,-0.0,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],5.351e-05,0.0,0.445,0.657,-0.0,0.0
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0005,0.0,4.476,0.0,0.0,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0006,0.0,3.347,0.001,0.0,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0004,0.0,2.728,0.006999999999999999,0.0,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0002,0.0,1.537,0.125,-5.85e-05,0.0
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0006,0.0,2.4659999999999997,0.013999999999999999,0.0,0.001
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0002,0.0,1.896,0.059000000000000004,-8.28e-06,0.0
2012 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-9.314e-05,0.0,-0.24,0.81,-0.001,0.001
2013 Intercept,-0.0004,0.0,-2.471,0.013999999999999999,-0.001,-7.46e-05
2013 beta:Cluster[Cluster 0],0.0018,0.0,9.824,0.0,0.001,0.002
2013 beta:Cluster[Cluster 1],0.0013,0.0,10.501,0.0,0.001,0.002
2013 beta:Cluster[Cluster 10],0.0004,0.0,1.7269999999999999,0.085,-5.04e-05,0.001
2013 beta:Cluster[Cluster 2],0.0009,0.0,3.637,0.0,0.0,0.001
2013 beta:Cluster[Cluster 3],0.0014,0.0,10.299000000000001,0.0,0.001,0.002
2013 beta:Cluster[Cluster 4],0.0018,0.0,12.184000000000001,0.0,0.002,0.002
2013 beta:Cluster[Cluster 5],0.001,0.0,6.6979999999999995,0.0,0.001,0.001
2013 beta:Cluster[Cluster 6],0.002,0.0,7.192,0.0,0.001,0.003
2013 beta:Cluster[Cluster 7],0.0005,0.0,2.7569999999999997,0.006,0.0,0.001
2013 beta:Cluster[Cluster 8],0.0012,0.0,7.26,0.0,0.001,0.001
2013 beta:Cluster[Cluster 9],0.0016,0.0,8.633,0.0,0.001,0.002
2013 Intercept,-0.0002,0.0,-1.024,0.306,-0.0,0.0
2013 beta:GICS_SECTOR_NAME[Communication Services],0.0017,0.0,8.877,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Consumer Discretionary],0.0013,0.0,8.509,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Consumer Staples],0.0013,0.0,5.9270000000000005,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Energy],0.0008,0.0,5.707000000000001,0.0,0.001,0.001
2013 beta:GICS_SECTOR_NAME[Financials],0.0013,0.0,9.334,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Health Care],0.0015,0.0,8.774,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Industrials],0.0012,0.0,7.956,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Information Technology],0.0013,0.0,7.816,0.0,0.001,0.002
2013 beta:GICS_SECTOR_NAME[Materials],0.0008,0.0,4.756,0.0,0.0,0.001
2013 beta:GICS_SECTOR_NAME[Real Estate],0.0002,0.0,1.085,0.27899999999999997,-0.0,0.001
2013 beta:GICS_SECTOR_NAME[Utilities],0.0006,0.0,2.479,0.013999999999999999,0.0,0.001
2013 Intercept,-0.0001,0.0,-0.716,0.474,-0.0,0.0
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0016,0.0,8.828,0.0,0.001,0.002
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0012,0.0,8.067,0.0,0.001,0.001
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0012,0.0,5.712000000000001,0.0,0.001,0.002
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0009,0.0,5.997000000000001,0.0,0.001,0.001
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0013,0.0,9.092,0.0,0.001,0.002
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],0.0015,0.0,8.631,0.0,0.001,0.002
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0012,0.0,7.575,0.0,0.001,0.001
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0007,0.0,4.2989999999999995,0.0,0.0,0.001
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0002,0.0,0.878,0.38,-0.0,0.001
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],0.0012,0.0,7.8260000000000005,0.0,0.001,0.002
2013 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0006,0.0,2.255,0.025,7.57e-05,0.001
2014 Intercept,0.0005,0.0,3.702,0.0,0.0,0.001
2014 beta:Cluster[Cluster 0],0.0004,0.0,2.7489999999999997,0.006,0.0,0.001
2014 beta:Cluster[Cluster 1],-8.079e-05,0.0,-0.634,0.527,-0.0,0.0
2014 beta:Cluster[Cluster 10],-0.0002,0.0,-1.119,0.264,-0.001,0.0
2014 beta:Cluster[Cluster 2],0.0007,0.0,2.039,0.042,2.54e-05,0.001
2014 beta:Cluster[Cluster 3],-8.48e-05,0.0,-0.606,0.545,-0.0,0.0
2014 beta:Cluster[Cluster 5],-0.0008,0.0,-5.5889999999999995,0.0,-0.001,-0.0
2014 beta:Cluster[Cluster 6],0.0003,0.0,2.9389999999999996,0.003,0.0,0.001
2014 beta:Cluster[Cluster 7],0.0005,0.0,3.227,0.001,0.0,0.001
2014 beta:Cluster[Cluster 8],-6.431e-05,0.0,-0.35,0.727,-0.0,0.0
2014 beta:Cluster[Cluster 9],0.0001,0.0,0.51,0.61,-0.0,0.001
2014 beta:Cluster[Cluster_NO_MAP_Cluster 4],0.0011,0.0,2.7539999999999996,0.006,0.0,0.002
2014 Intercept,0.0004,0.0,2.8369999999999997,0.005,0.0,0.001
2014 beta:GICS_SECTOR_NAME[Communication Services],0.0001,0.0,0.6970000000000001,0.486,-0.0,0.0
