,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,247.0,-5.678320592162748e-05,0.025712343542866136,-0.1599087028036001,-0.012683916933812711,0.0008415710465384633,0.01266680034572937,0.08359193071508937,0.9127500580180044,1.401891291531845
1684442D UN Equity,247.0,0.000589752289949415,0.01705037508465458,-0.09209516500383724,-0.0076874587556264385,0.0,0.010355621583988082,0.04742765273311896,0.674839165023359,1.5602716359428106
KBH UN Equity,247.0,0.0014888612628551577,0.03182910460978251,-0.0958996950186378,-0.019161664966924723,0.0,0.022506339291236275,0.11729266865155102,1.1842734479632453,1.799469614744824
297504Q UN Equity,247.0,0.00025980518114949097,0.021446474335904298,-0.07113613101330607,-0.01439214422927778,0.0007322431047107917,0.0114900954420847,0.07761194029850739,0.9232382203247994,1.7578682282752414
PPG UN Equity,247.0,0.0007276546151862068,0.020137986951931336,-0.11360062893081763,-0.011395534401057058,0.0007480830372171152,0.011366911669289843,0.07142857142857142,0.8667496010761044,1.4536480785495185
T UN Equity,247.0,-0.0007967841526404403,0.021061342794109105,-0.06328502415458931,-0.01452701143119908,-0.00023781212841850205,0.012126085158886604,0.06424242424242421,0.49815470190519456,1.9032199476966052
GOLD UN Equity,247.0,-5.049054294258049e-06,0.023851465121813752,-0.0572916666666666,-0.016175876978980486,-0.0012771392081736637,0.012546391410961696,0.07615894039735102,-0.18228692245590739,1.9537637802263463
HSY UN Equity,247.0,0.00024397735985610608,0.013156651856737433,-0.07128309572301425,-0.006837862380742344,0.000658978583196032,0.007864803294373418,0.04012246213341919,0.15076371381422365,1.5172019384256648
M UN Equity,247.0,0.0010546942420505791,0.02657627511810691,-0.08718917217500785,-0.016009753911062848,0.00035435861091430063,0.016688510266491985,0.09636654545454555,1.0026785188781002,1.7775499625442828
1431816D UN Equity,247.0,0.0008171807287043713,0.0498047928903966,-0.1371951219512194,-0.031953040573730246,-0.0038738240177089256,0.029344696969696892,0.1640449438202246,2.3656716306332783,1.8839447771390683
AMGN UQ Equity,247.0,5.226002673930537e-06,0.029883834939011093,-0.09581980982825827,-0.017785729800211918,-0.0009682922705685625,0.017278444032233185,0.12708333333333333,1.1556862471025762,1.696494404341404
RBK UN Equity,247.0,0.0005652262886105629,0.030586824807680886,-0.12279355333844971,-0.016252294661710694,0.0,0.018710161229846256,0.09126984126984126,0.8409931784027366,1.7239177072938976
KRB UN Equity,247.0,0.00021518718602743766,0.024543243185713125,-0.08546721276054285,-0.014835998704679358,-0.0014778128370012626,0.01691457271169057,0.11417365269461083,1.1499355712745358,1.616883301899862
CR UN Equity,247.0,-0.0001175324932989954,0.020933401598136045,-0.1337532419414598,-0.010696297679007798,-0.000692520775623254,0.010017413427277543,0.09154929577464785,0.971822555610188,1.304696421360802
2942331Q UN Equity,247.0,0.0009940323362513798,0.02452153088116541,-0.07543789808917195,-0.015074730037714859,-0.00043725404459998087,0.017293872568532216,0.09843081312410842,1.4175201027535798,1.7073310640388095
0111145D UN Equity,247.0,0.00019424134118526147,0.013294415067437882,-0.05763239875389408,-0.006946678332925912,-0.0002544529262086008,0.008164412012171923,0.04786324786324785,0.19678491798670997,1.6780354309599639
SANM UQ Equity,247.0,-0.00049231444560112,0.05903603499652478,-0.15789473684210525,-0.035598231995494285,-0.0035587188612099642,0.033292393351346955,0.2202797202797203,2.7928402600904683,1.8347591825066134
TMO UN Equity,247.0,0.00014298659721974596,0.02595951799539152,-0.0671904789415911,-0.015838556035656003,0.0004886524052557466,0.012343280566401604,0.08038528896672519,0.9571653236202853,1.9306022245021701
AON UN Equity,247.0,0.00041071547813178495,0.018919548016669147,-0.1048306772908365,-0.006366571277125607,0.0002865329512893413,0.010898430821968005,0.052941176470588235,0.6239722822079872,1.4653147935098265
MAR UN Equity,247.0,0.000319073822769611,0.026638745935305054,-0.2105260394240766,-0.012188426636291166,-0.0014874977185617188,0.014031528919970063,0.08662452275145531,1.1784945343528228,1.2441296228996672
PWER UQ Equity,247.0,-0.002381188714327831,0.0710378804168612,-0.18208516886930987,-0.04896807597405811,-0.010235414534288603,0.03693962189626381,0.3011952191235058,3.281616670543176,1.7738944087669715
KRI UN Equity,247.0,0.0007489580988183612,0.015073383370065625,-0.058373870743571914,-0.007345640035162035,0.001530872597380565,0.010228373993743014,0.053964757709251104,0.5626105645361822,1.71551087174672
WCOEQ UQ Equity,247.0,0.0003351958016294338,0.03746277866648681,-0.09577291740916513,-0.02205287820731533,-0.00481430536451159,0.01877779418205939,0.25490452097274363,1.4211882449277151,1.4174201495592942
4621824Q UN Equity,247.0,0.0006994867756822727,0.019068447705382262,-0.0663265306122449,-0.011513673164186375,-0.00018178512997633176,0.01220330313947654,0.06258322237017311,0.21797216255159213,1.796209580084336
FITB UQ Equity,247.0,0.0004318865773402027,0.017468764747649374,-0.05489177489177492,-0.009898108553579449,0.0006347191367819604,0.010165680452648623,0.05033112582781457,0.7639567936737541,1.9023310795969024
ABC UN Equity,247.0,0.0012549675777282052,0.023568899922906363,-0.08378849506101108,-0.011026555302009855,0.0019873190120185116,0.015698070456800654,0.06966756799745517,0.2751479331330254,1.815152312187246
9876566D UN Equity,247.0,-0.0005820669787462593,0.019366292391572344,-0.06985564785950146,-0.011248282538021008,-0.001361367417939849,0.011048629479053898,0.07563025210084033,0.6243671249386934,1.6574323583532957
YUM UN Equity,247.0,0.0019229438657286904,0.018615480348916674,-0.05586494953010788,-0.008206004564635752,0.0012784998934582644,0.01195812773525548,0.06749079281696982,0.3667232909854457,1.799860337805942
MO UN Equity,247.0,0.00016380625955539195,0.019684277555035812,-0.08524390814274362,-0.011625795787681328,0.00041163679317056205,0.01204166713453534,0.05735009235482271,0.21420849934325625,1.714123714244326
ZBH UN Equity,106.0,0.00045261170399398665,0.020545893458392667,-0.05577956989247312,-0.011466630351511173,0.0014403180627090059,0.011597610574478952,0.07853025936599423,0.3157990601020421,1.7508834747896673
QCOM UQ Equity,247.0,-0.0001476373495935026,0.049914125885785185,-0.11793995173050276,-0.03440741121165955,-0.0022804975498334325,0.027694032373175213,0.18606843033509704,2.4121044959353735,1.9019398584240281
ADI UN Equity,247.0,0.000980803581271661,0.049748102202346864,-0.10797640420620673,-0.03383930505891472,-0.004424778761062009,0.030265151515151516,0.1595744680851064,2.462968722545445,1.979290768283319
MEL UN Equity,247.0,-0.000805468411954663,0.020386201186028526,-0.058981233243967826,-0.013619559866494905,-0.001283147989734713,0.010728520483083145,0.07721518987341765,0.9391208444004504,1.8319172546875253
RDC UN Equity,247.0,-0.0008080356087563743,0.03238414855906391,-0.11382598331346852,-0.0210498577807156,0.0007331378299120078,0.021466323350047428,0.09102244389027438,0.5466326353362452,1.8673955054984983
TRB UN Equity,247.0,-0.00017043695863456842,0.01792119387405665,-0.09192825112107626,-0.009088040757080772,0.0,0.009183429255228142,0.054143646408839605,0.7496387493690255,1.5872113351364883
EXC UN Equity,247.0,-0.0011814210345830638,0.02136206181326028,-0.11793855302279489,-0.011153425467326013,0.001198322348711778,0.01127651403999797,0.08639705882352947,0.0161390946998625,1.4026100499327363
9876544D UN Equity,247.0,0.001828165552832289,0.027529462878265926,-0.16497659906396256,-0.012738795196936914,0.0006218905472637788,0.01803193211094365,0.07692307692307693,0.9207039783323602,1.477805996336709
BCR UN Equity,247.0,0.0015889138292111836,0.021541419354868894,-0.05982260803925272,-0.0073000383020533615,0.001069518716577454,0.00960789357868049,0.2193478260869566,0.5358674391395581,1.0021122394868767
ORCL UQ Equity,247.0,-0.0013598983350638742,0.050225358361534765,-0.21052631578947367,-0.029358326776773254,-0.0031500926497839365,0.023104730741356345,0.2132701421800948,2.4648344176922423,1.5614988801166114
1649858D UQ Equity,247.0,0.00016587313323777414,0.023375864847725737,-0.17816944091551923,-0.01,0.0013149243918474406,0.010242664060856378,0.05774278215223097,0.6048135550840626,1.2425193300952142
PTC UQ Equity,247.0,-0.0007034321630274531,0.055717735112598574,-0.18108326596604693,-0.039528136465964606,-0.0037037037037037563,0.03204085393140116,0.2557022809123649,2.396133680807382,1.6457400069076364
ADP UN Equity,247.0,-1.0993414045668934e-05,0.020055238144953365,-0.08548212969595052,-0.011447029628902594,-0.0007133232939684822,0.01133733544789858,0.07289293849658317,0.8341053704982359,1.6109039189200942
723588Q UN Equity,247.0,-0.0014455420489082808,0.018733106302566162,-0.08181818181818183,-0.012545369653538162,-0.0011556240369800129,0.009832754684354891,0.06226415094339624,0.7626525534320214,1.6703058506988018
FNMA UN Equity,247.0,-0.00013203463701327183,0.015941468040331704,-0.05637065637065637,-0.008818073469320741,0.0003555344868452375,0.008989665453810431,0.0451807228915663,0.009673904388611588,1.8564453047555067
NMK UN Equity,247.0,0.0002567442314616244,0.007283794307019241,-0.044470450555880725,-0.0033899387129725494,0.0,0.0039348955371023555,0.02571953459889784,0.15280713305821608,1.4221083296692365
TIF UN Equity,247.0,0.0009041137551189769,0.03839197571698582,-0.20836337418889683,-0.02007838745800668,-0.0005945303210464663,0.018018834302834782,0.22981366459627328,1.9408223907772602,1.2053977325974468
MWW UQ Equity,247.0,0.0017768791125642538,0.05667437629690921,-0.1820373333878695,-0.03531345124388707,-0.002738094585732961,0.032969910175622535,0.1918366777955127,2.495272168727485,1.815715381440874
AXP UN Equity,247.0,-0.0011187730318794585,0.02833517558999993,-0.1359594595035552,-0.01874320112830998,0.0013538639276493797,0.0146063676868733,0.09235341181849363,1.521822813435391,1.603271295517599
FMC UN Equity,247.0,-0.0004358491618425744,0.018042096726588276,-0.10037003441176046,-0.011067321701106008,0.00026769580832977175,0.009755770426811448,0.04450621425604651,0.7567564691294467,1.6188604368953092
BRCM UQ Equity,247.0,0.00016268267743563633,0.07437733781458379,-0.16758452522880443,-0.047530231319315,-0.0016129032258064171,0.0417309037242374,0.4047625615763548,3.3632330512442126,1.6472978780676262
DYNIQ UN Equity,247.0,-0.001968121832817459,0.04156247939108313,-0.1299117882919006,-0.027315850146859062,-0.0017504376094023223,0.01991466130399333,0.14736842105263162,0.7512130723098335,1.760371030902173
MAS UN Equity,247.0,0.000267615499869688,0.023562968536820113,-0.12289328923241581,-0.010264457053190961,0.0,0.013348122807329374,0.1019519836946211,0.9426119815364256,1.3649015125529593
COF UN Equity,247.0,-9.448959499265734e-05,0.030652217016914653,-0.10819932499503665,-0.019063180827886668,-0.0012938702895034498,0.017324627870318035,0.1303305360506936,1.417464616615731,1.660235995252286
CMI UN Equity,247.0,0.0003295788006413568,0.022229977679640866,-0.09010740531373664,-0.013992233460586815,0.0,0.013952803271760201,0.06930561108889771,1.0766902397900617,1.7249894639952927
WFC UN Equity,247.0,-0.0007393741759669527,0.01648255957910102,-0.06046986721144026,-0.010783818646599982,-0.00083385449239106,0.008599794546281778,0.05173160173160174,0.6551266417829612,1.7655853334672382
1288652D US Equity,247.0,-2.5491730537675912e-05,0.014275764586704766,-0.06960762580359124,-0.008098011630940843,0.00021061499578780784,0.007881004476813426,0.03936810431293882,0.6299961018221903,1.634857190598159
CCTYQ UN Equity,247.0,0.004304694013571136,0.04367874824633544,-0.21894205342252435,-0.018538557180211735,0.001413179760715643,0.02788352970527956,0.18681593677971672,1.4553653198003733,1.4442267371935653
LPX UN Equity,247.0,0.00017199237939464858,0.0378578195395041,-0.13502109704641363,-0.020311016532984186,-0.0009569377990430418,0.016801821027173168,0.16233766233766234,1.383226188563785,1.5891305549488117
AEE UN Equity,247.0,-0.00017305781079547268,0.013699938001768249,-0.07369942196531792,-0.007548748812022451,0.0010540184453227705,0.008801840633737151,0.035040431266846285,0.12856244973161968,1.6030444164628015
