,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,251.0,0.0010068310657752634,0.0324528125375059,-0.10112400521436314,-0.019102784187404326,-0.0026346691718086923,0.01869754591742033,0.14779871004612807,1.0739255518690682,1.6520481974926589
1684442D UN Equity,251.0,0.0004742961558572472,0.025440600383427905,-0.06962025316455696,-0.014662882696938424,0.0,0.013699555608935862,0.10877192982456141,0.7554302415060254,1.7496671715814125
OAT UN Equity,251.0,0.0019808324931876184,0.024172799868801647,-0.07875579086697551,-0.010399933310652948,0.0008896797153024911,0.011831944487954639,0.12092391304347826,0.3429603927648489,1.5279769356212258
41018Q US Equity,251.0,-8.658947765088532e-05,0.02600735396656966,-0.1870636842855107,-0.015383438115712167,-0.001195457262402773,0.016609410836798816,0.13793103448275862,0.8258989998514834,1.1192975136071488
KBH UN Equity,251.0,0.001957031440197919,0.029809916707646603,-0.07940705882352943,-0.016560928464690202,0.0,0.018122976359975073,0.13043478260869565,1.0117793004537572,1.688166833195306
297504Q UN Equity,251.0,-0.0004886305715646878,0.029921545047688045,-0.08453837597330367,-0.017782928388746802,-0.003926701570680628,0.012555976083514709,0.16666666666666666,0.5683353890245798,1.490663452592399
PPG UN Equity,251.0,-0.0007415167600915492,0.024189495552686062,-0.06589090909090914,-0.017213658562997544,-0.0030406872918578303,0.01430169091352691,0.09529999999999994,0.6207427799713122,1.7773150239135818
T UN Equity,251.0,0.00045516758969601384,0.028059138635593842,-0.12661195779601406,-0.016012187654279135,0.0,0.016811913001648617,0.09872611464968153,0.6167481104995656,1.5834293605563805
GOLD UN Equity,251.0,7.822849560535357e-06,0.025260835949088383,-0.054982817869415807,-0.01518032031340016,-0.0033112582781456954,0.01227756071849874,0.10227272727272728,-0.3760957776012876,1.822136106213142
HSY UN Equity,251.0,0.0015974702357213464,0.024344214440804063,-0.051854099308801714,-0.014507838867939788,0.00139888268156432,0.014323205697786955,0.12582781456953643,0.1482660811692165,1.6745446563109072
M UN Equity,251.0,-0.0008678073342759534,0.03413327782514517,-0.1490150118060703,-0.021780339252945688,-0.002228571428571437,0.019146880769479825,0.1277064955894146,0.9124292113287472,1.5889580242672525
1431816D UN Equity,251.0,-0.0005820362797828266,0.06391544473964494,-0.3290653008962868,-0.043113803232611145,-0.007534983853606028,0.041561542238853985,0.22972972972972974,2.62196293015846,1.5431881687786928
AMGN UQ Equity,251.0,0.000906435893368037,0.04116671499006349,-0.13411678832116786,-0.02752234528755118,0.0018467084268998935,0.026932372179089052,0.11961722488038277,1.3720105538830687,1.9017704953641221
RBK UN Equity,251.0,0.005859472326421734,0.04871572762845085,-0.1590909090909091,-0.02131139944392956,-0.002688172043010753,0.020423200978756537,0.2807017543859649,0.7437480174197824,1.3242699276343566
KRB UN Equity,251.0,0.0017222953041686072,0.03015063209436162,-0.09715468654916888,-0.015908441656572354,0.0029349042461097046,0.02168352752825683,0.0896551724137931,1.0635177346380684,1.8574584118441304
CR UN Equity,251.0,0.0018248836507286045,0.023226988537408347,-0.13317191283292978,-0.012658227848101266,0.0,0.015288633825858891,0.12345679012345678,0.6756949445322717,1.2740040085669615
2942331Q UN Equity,251.0,0.0014951208247588703,0.03368744275332677,-0.11204481792717087,-0.0199595102086459,0.0030534351145038168,0.023186954505207236,0.10804020100502512,1.2646151904893121,1.8228638201768104
0111145D UN Equity,251.0,0.0013947208912744465,0.016575638501139564,-0.05357142857142857,-0.009505840829491144,0.0,0.011246206099147275,0.05122950819672131,0.29276361918185567,1.8625317912136716
SANM UQ Equity,251.0,0.0029984076096452577,0.05052103351891941,-0.15284249767008387,-0.02797573189522342,0.0021978030565287777,0.031179143875239183,0.1879120879120879,1.855035023075037,1.7469140246666675
TMO UN Equity,251.0,0.0032249848238769716,0.031929148494030564,-0.08249860879243183,-0.017248045335687266,0.0,0.01397529612123944,0.16667786813629965,0.8213821312356551,1.5584730141081578
AON UN Equity,251.0,0.0003241665351507304,0.04006505335411378,-0.29239766081871343,-0.019419306184012067,0.0,0.018697502791759052,0.13506493506493505,0.8258431301437246,1.236990959459305
