,count,mean,std,min,25%,50%,75%,max,beta,entropy
DISCA UW Equity,251.0,0.0003421239424748928,0.01975799944223733,-0.07243079256731134,-0.011024983215474153,-0.0006920415224913347,0.011024196421087979,0.07223903177004538,1.452539381253751,1.7390383613390556
USB UN Equity,251.0,0.000932748763184773,0.01269075729144214,-0.05612124082405867,-0.005885876334815353,0.0011363636363635717,0.006974757416400859,0.04405874499332439,1.1938341052583605,1.6026672798966588
MNST UW Equity,251.0,-0.00018056802105565959,0.01718058077763863,-0.048565817229590476,-0.008936797892524051,-0.00030358803104197756,0.007590597014013795,0.1281299134067069,0.7582179582694892,1.301240886124738
WRK UN Equity,251.0,0.0011485045163276584,0.024475231240436587,-0.14917980776009962,-0.010369599187269717,0.001758628269949402,0.015767419026720967,0.1146922519152156,1.7847812517281838,1.3006594551668895
PPG UN Equity,251.0,-2.7242780103336683e-05,0.014413808984226862,-0.08278696545650253,-0.006989698066739842,0.0012604227263912687,0.008396745449417885,0.03290259528721903,1.2698960673931337,1.5298258932459183
T UN Equity,251.0,0.0008948367127870178,0.00932928889009582,-0.03593105122602566,-0.0034314170688717447,0.0009701673538686941,0.0069863346458250465,0.027954256670902195,0.4809186254937901,1.7590277525368045
HSY UN Equity,251.0,0.0007770581552724604,0.01658311020356125,-0.10763857795289689,-0.005890742986068633,0.0003125651177328728,0.007046936153066606,0.16831377393452743,0.551588547445647,0.8054502467292458
M UN Equity,251.0,0.00028389631266769404,0.023788598997165643,-0.1516626115166262,-0.01231245924669926,0.0008972633467922644,0.011466727756632383,0.17088235294117654,0.966723605909617,0.9850469157300628
PXD UN Equity,251.0,0.001733364247828832,0.02280163615358246,-0.07206199568586719,-0.010624182039554548,0.0009572431397575347,0.01377802629597552,0.10001727414061154,1.444517227442604,1.6671330426853006
KMX UN Equity,251.0,0.0010739544916783268,0.02237549603031889,-0.08210071464184818,-0.010934353022002909,0.0005885815185403401,0.014859861989367965,0.06093649775497109,1.5428249869977835,1.8283163056023095
RRC UN Equity,251.0,0.0018197611711181835,0.036847975376905456,-0.11407407407407412,-0.019215347859708253,-0.0005094243504838518,0.022759938621563613,0.18371987266939532,1.404200800688602,1.5971456422337043
AON UN Equity,251.0,0.0008803280943725719,0.010678964001550268,-0.044903581267217635,-0.004566680929967253,0.000994664978750334,0.006115909511913684,0.04406970207982014,0.8273976280868237,1.56408430422136
RSG UN Equity,251.0,0.0011525669548566842,0.008778593135674835,-0.040837479270315065,-0.0033063963708580245,0.0014453477868111705,0.006847621112479378,0.027828054298642463,0.5816366604081572,1.618019054724817
HUM UN Equity,251.0,0.0006560548880582019,0.017401041398590868,-0.09578842093565941,-0.006582015907139562,-0.0001005833836250766,0.00820510187394155,0.08282305410011997,0.8507440660538838,1.289907603674159
AAL UW Equity,251.0,0.0007923203908843721,0.023054495583726298,-0.10814375206066594,-0.011266859210857101,0.0012535255405828627,0.014042713923272866,0.11232349165596908,1.622810748298025,1.447148916748758
CPRI UN Equity,251.0,0.0005655940247880224,0.025681253272135766,-0.11803607214428859,-0.011060409242106776,0.0003937007874016364,0.012192330413135393,0.23911968348170135,0.9960037644793983,0.9471644167951293
VRSK UW Equity,251.0,0.0003565241686288919,0.010737522657219237,-0.05124223602484462,-0.004820681893107864,0.0006024096385541827,0.004808655654226417,0.05352154094986032,0.8414729641288756,1.3873083017840873
ILMN UW Equity,251.0,-0.000873321663244508,0.030644913284276043,-0.24809304841763585,-0.01132961693060887,-0.00035389878494751845,0.012550008248486583,0.08094603597601603,1.6330729048223904,1.11064402565549
ABC UN Equity,251.0,-0.0008788709926429828,0.018613336648614077,-0.13031446540880504,-0.00842396432574189,-0.0005098789037604366,0.006639535166202198,0.0953208749818919,0.7847583030280149,1.0742261558001371
AMT UN Equity,251.0,0.00044009861125640973,0.01311123077466332,-0.05787975502458387,-0.005000554169218019,0.0010433462961206433,0.007564527231763709,0.03959455178967374,0.9311580949782263,1.6404250838488024
SIG UN Equity,251.0,-0.0008329537856888047,0.02376720305126572,-0.12628272251308903,-0.011673951285780908,0.00016863406408103063,0.012913608850004626,0.0935135680419652,1.1522144530713114,1.4299643371558115
KIM UN Equity,251.0,-1.3376513580964383e-05,0.01256782554101917,-0.044854881266490745,-0.006313136974447018,0.0006983240223463538,0.007196926583450073,0.0314563106796116,0.7500613413074312,1.8745457264556116
GILD UW Equity,251.0,-0.0011076903993825367,0.016774849209436688,-0.09061855670103099,-0.010071667312321779,-0.0008285004142502385,0.008954226084351303,0.059832522960561754,0.9117613694979434,1.425286185875362
LEN UN Equity,251.0,-0.00021168310952541462,0.015804739759264035,-0.04339306637715897,-0.009161451851664266,-0.0006538734896943375,0.009225249010403287,0.05026237676242985,1.3219957447104331,1.8986627584349418
PRU UN Equity,251.0,0.0012304178971583176,0.018655710841785467,-0.09459881361223856,-0.007207935223013129,0.0014223065070521552,0.010961348453790671,0.063852322590407,1.6495830953773687,1.496818308782052
EXC UN Equity,251.0,0.001052005751619599,0.014354092383758513,-0.058621764889304616,-0.007441160449961688,0.002118003025718617,0.009341307547320547,0.04877239548772391,0.7285635802231363,1.7065094523280098
COO UN Equity,251.0,0.0012146112781032598,0.013310386688139768,-0.04027754273142672,-0.006658925159971248,0.000598444045481667,0.008776014658503816,0.05261706089235222,0.8365708404526528,1.7529706211739178
CHKAQ UN Equity,251.0,0.003760064133092758,0.06922095905292472,-0.3333333333333333,-0.0318432016333738,0.0,0.03027438849745088,0.34444444444444444,3.270033525514125,1.3436804357871945
DVN UN Equity,251.0,0.0020844207097449803,0.03779513255523927,-0.11244315832988848,-0.019151880488005972,0.0,0.02248610112229641,0.14634724857685014,2.3701955290440004,1.7566272991585614
ADP UW Equity,251.0,0.000951530888185157,0.010471655610371897,-0.03580164554147208,-0.0044430167365043394,0.0007780371234856884,0.005913976264529245,0.03520478601012428,0.9630615080582984,1.7160714431115862
WMT UN Equity,251.0,0.000541437462571166,0.012208292228528884,-0.03459805204244817,-0.004985148248771165,0.0005487721223762691,0.005980030036075183,0.09580364212193197,0.4871023306406166,1.2445776159050785
TIF UN Equity,251.0,0.00029016185274223527,0.016616665884336166,-0.059954751131221645,-0.009752367185904129,0.0,0.010234522096732831,0.06403368665601854,1.2074951424879288,1.7320450379628654
REGN UW Equity,251.0,-0.0010496034259853894,0.025200587519637156,-0.06342221071705922,-0.01781257505033671,-0.0023524958087718473,0.010995232137456065,0.13772194578133082,1.4448848738986766,1.5451302163852656
AXP UN Equity,251.0,0.0004860653741190719,0.015438181597909436,-0.12100893997445719,-0.005798070529671243,0.0013950892857142064,0.007076993527158888,0.0902857142857143,0.8074026773208157,1.0161380845414223
NBL UN Equity,251.0,0.0008541209127639109,0.026399089291374342,-0.08194186765615342,-0.013285789539830544,-0.0015140045420136833,0.013991833824298291,0.10381026438569214,1.5696680358394366,1.743076718550824
FMC UN Equity,251.0,0.0018079153053229553,0.0210699170743583,-0.08478805327341242,-0.009486637403524411,0.002073944369492217,0.011351503153959797,0.10501437112555442,1.5867274314038937,1.4843426562935917
1806854D UN Equity,251.0,0.0008081283586506622,0.015046129514617866,-0.06548315084511531,-0.005999983404145677,0.0,0.008056722336012758,0.07588834460772871,1.1969694054419802,1.3329520230933114
PDCO UW Equity,251.0,-8.616924256554315e-05,0.01722413299928582,-0.1673331930119974,-0.006336184569308383,0.0008847600088475813,0.007732186382214052,0.05865553602811938,0.9945314466453273,1.0127028702110628
MLM UN Equity,251.0,0.0021329769192049513,0.019245099930166893,-0.050485436893203846,-0.008441742465667281,0.0011174886981256608,0.011010419457790365,0.11573684471065787,1.2298223853393178,1.4526081435189029
MPC UN Equity,251.0,0.00030374518600057357,0.027370050572125725,-0.08859668031903425,-0.014854254557032643,0.0012568077084205104,0.014760690541725338,0.08912491341491571,1.989692506654166,1.8013702968542726
MAS UN Equity,251.0,0.0006643131863081853,0.01736181428565927,-0.09475566150178794,-0.0066464062928711055,0.0016030779095863147,0.010371015505870902,0.08226768968456946,1.3731499356268173,1.312033149194029
COF UN Equity,251.0,0.0009909915269546868,0.017637960763897793,-0.06623188405797091,-0.008563264511532158,0.0005305743467304185,0.011047056815909766,0.04836038423318971,1.457955524304882,1.8082536124890336
CMI UN Equity,251.0,0.0018115215950743582,0.017015050897706146,-0.07308180088776156,-0.006211916524210595,0.0010855949895615486,0.010587342331152962,0.0762188396205603,1.2371317255312577,1.49139988715937
WFC UN Equity,251.0,0.0002739032374529002,0.015014647934386898,-0.04591943226883732,-0.007472661518398484,0.00040891433244741624,0.0070704438315490736,0.07584913523650762,1.230149708050817,1.5850916038762028
AEE UN Equity,251.0,0.0008568118069666911,0.011579449154396194,-0.04217926186291747,-0.004417283957095791,0.0013671875000000056,0.007881006200537458,0.029931407191851958,0.3644334691499933,1.8455998962694342
SO UN Equity,251.0,0.00022772084045123977,0.009881166098123029,-0.030842475677913515,-0.005394090262511268,0.0010022048506714203,0.00650228571725842,0.027001148985063266,0.20429584548846283,1.8989718833707998
LH UN Equity,251.0,0.0002634160913449739,0.01331132000311507,-0.08633769236326858,-0.006149411084881624,0.0008285004142502385,0.007004380051337576,0.0368879395333552,0.9423219593506501,1.4336083906783896
ITW UN Equity,251.0,0.0012386246964632762,0.010748572602816435,-0.0480247144729451,-0.0038627360210119087,0.0009695559433778778,0.006596703535601001,0.04022208513263424,0.9754430928382968,1.5726624828820281
