,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,251.0,0.0008190289464971692,0.018138362874179366,-0.056147540983606456,-0.010792634764359512,-0.00041118421052638006,0.012591930187603035,0.05526838966202786,1.2330568376705726,1.9041693180114951
1684442D UN Equity,251.0,0.0013624195584189351,0.018115594867183792,-0.04867495943753373,-0.007433517608146048,0.0005010020040079164,0.010481161144173445,0.0902885510394044,1.1976516567361588,1.5982610104683814
PPG UN Equity,251.0,0.001425395498171197,0.015535413226868099,-0.06383652779977825,-0.007693816975369483,0.0022502250225023357,0.01054377718880967,0.05221467830585199,1.1527188230362548,1.6972732230926182
T UN Equity,251.0,0.00015747723623116042,0.009759835070850984,-0.02918424753867798,-0.005544555325094406,0.0007619047619047457,0.006189257822163955,0.026726973684210467,0.5764270695277292,1.9487949445315214
HSY UN Equity,251.0,0.0011326006809911245,0.012828843018646372,-0.04154957848253714,-0.006200926421996237,0.0005376344086020435,0.00842866318536618,0.07225691347011585,0.4400008111024863,1.4534881008459872
M UN Equity,251.0,0.0018415935408649074,0.023307048396857905,-0.06491774121831914,-0.011462282712005892,0.0023937761819269386,0.016173264430258495,0.09252506836827701,1.3346121268347946,1.78567810058642
PXD UN Equity,251.0,0.002376178982206052,0.022597431319787663,-0.0632498889053474,-0.010049902378263052,0.0014285714285714212,0.014747655884849846,0.09213675213675214,1.585160493420878,1.7643991735166071
1431816D UN Equity,251.0,0.00028040666966501026,0.025979006063962546,-0.13924050632911394,-0.012388631660177491,-0.0016750418760468656,0.014264951675023483,0.0893470790378006,1.5208669948410274,1.5140414249607441
0111145D UN Equity,251.0,0.0007139763127489191,0.013648177765482274,-0.04350978970268304,-0.007104408905843093,0.0007075471698113476,0.007414794674812599,0.07146139705882351,0.885326367336161,1.5315622551821368
KMX UN Equity,251.0,0.0014036210388183538,0.023292862970391525,-0.07604456824512526,-0.01390892383363361,0.0010193679918450947,0.013784517679276652,0.09250000000000007,1.273106994367896,1.7378326451752
RRC UN Equity,251.0,-0.000328631154210189,0.024402618771606984,-0.06993006993006987,-0.015977091429740214,-0.0013120489831619324,0.014535566416019541,0.1012542759407069,1.4471255692289333,1.7422076493031668
AON UN Equity,251.0,0.000847037087126569,0.012511897742317937,-0.0709441836202401,-0.004567619627824621,0.0008092797410305135,0.0070533549883259,0.04070746771476707,0.776796434456415,1.465680988654844
MAR UN Equity,251.0,0.0018249634803918838,0.0200254318381359,-0.06371636617309796,-0.009263562211534796,0.0017009465089954413,0.011549845882239479,0.07378308974444646,1.463697632342167,1.7834878773605674
MHS UN Equity,251.0,-9.682055268973505e-05,0.01711031946573341,-0.08119257453590846,-0.009137342966295932,0.0012156998957971567,0.010064692136797428,0.10750429635287384,0.692763073007148,1.2472911985810458
TWC UN Equity,251.0,0.0019492220520968928,0.018620219829351456,-0.07983269685397346,-0.007013604947536328,0.0009349289454002294,0.011644102958946878,0.07566346696781472,1.1016795972668223,1.573049902361189
ABC UN Equity,251.0,0.0010911996206002996,0.01437070108810656,-0.07435176507341452,-0.007170699622756829,0.0007135212272564957,0.009858830626542253,0.03987624613269165,0.6852193082349819,1.6033708540653262
AMT UN Equity,251.0,0.0007936576061896204,0.014631950415740572,-0.04519901056892282,-0.007635568411617458,0.00042607584149985357,0.008337942604640668,0.05551778835259451,0.8749200125614109,1.7753928658083051
9876566D UN Equity,251.0,0.0007948483959635198,0.011430733926133951,-0.03441533046538909,-0.007032933285280549,0.0013232514177693815,0.00734801095177484,0.03459503459503465,0.7764783306509748,1.8898245034768766
YUM UN Equity,251.0,0.001435812166152267,0.014215664722223449,-0.05489662120150797,-0.005924888193485278,0.0006438494410489411,0.009687401973540472,0.06235933950571769,0.9795122351518526,1.581078828045359
MO UN Equity,251.0,0.0009163618832702136,0.009604553710736017,-0.03003284842796795,-0.00466381866569408,0.0015007503751876508,0.00714310724289726,0.03949903660886304,0.5517919702417253,1.6973426320396539
HCBK UW Equity,251.0,-0.00016842830972363452,0.013563019422925093,-0.05118110236220461,-0.00919432224725781,0.0,0.008164414414414435,0.03874092009685219,0.7420188664157406,1.8311679677700177
GILD UW Equity,251.0,-0.0005513764451496837,0.017697864099590566,-0.09562902152207682,-0.009638950413805907,-0.0002992220227410268,0.007869384650752112,0.07064854022732342,0.8388455611787552,1.4191670393131506
1683997D UW Equity,251.0,-9.203943740153074e-05,0.019422133333057843,-0.06699232379623174,-0.010353287000611854,0.0008333333333333156,0.011173816366071563,0.06951871657754012,1.1041846500763037,1.721787414008431
ADI UN Equity,251.0,0.0008628196497419258,0.018570995592709093,-0.04511030622324665,-0.009608622905502111,0.0003186743148502729,0.011623409736617313,0.0555754750806741,1.202357760777367,1.983076890058951
LEN UN Equity,251.0,0.0018902116938207974,0.02975936566361076,-0.05771090222191217,-0.017047348490612527,-0.0005708283861538731,0.01575263391078614,0.12978778245553732,1.7132549790019314,1.8081229183113032
PRU UN Equity,251.0,0.000712813436504336,0.0205883962783215,-0.06570841889117036,-0.010626877975353683,0.001612325331422363,0.01319748043172616,0.07687016337059327,1.5532863746704635,1.7643535833825763
RDC UN Equity,251.0,0.0017852041179702344,0.024508077815632086,-0.06906300484652668,-0.013767194392275563,0.0007952286282307407,0.018014857115203106,0.08984830805134184,1.599702928199269,1.8406018300653357
EXC UN Equity,251.0,-0.0005723171955955865,0.011519888726389873,-0.04188601510643164,-0.007472602256224193,-0.0004997501249376093,0.0058266907302011745,0.0375745011661051,0.6555772982121812,1.7589212793754925
9876544D UN Equity,251.0,-0.00017500983982184938,0.02238195474250481,-0.10059880239520957,-0.012769647665469112,-0.0020020020020019595,0.011335094284246873,0.0806122448979591,1.1817610489195511,1.5998935511729768
ICE UN Equity,251.0,0.000415619629455125,0.02004743516734406,-0.056823226493829405,-0.010782752885901088,-0.0008720676724513636,0.013100391990569553,0.07595047087547964,1.2439318316729358,1.8028338826513506
BCR UN Equity,251.0,0.0006731989355037931,0.010977886796085643,-0.033859501144716087,-0.005102653421063976,0.0,0.0074049779533758645,0.040790238233585185,0.5957841659398359,1.7925479387406809
CHKAQ UN Equity,251.0,-0.00010916940532151857,0.020728688821590954,-0.06387920793886609,-0.012316572115875755,0.0007886627170582582,0.009617951143669536,0.08841201212363532,1.1993876458902837,1.6601568074775077
DVN UN Equity,251.0,0.0002423327389636663,0.016946061925840812,-0.05149666619378629,-0.010733579401996804,0.0,0.009122408182118798,0.05549245497322723,1.1697464017715757,1.8575606082389178
ADP UW Equity,251.0,0.00036808524761389015,0.010926314823870405,-0.03645410373476661,-0.005537805967972506,-0.00022085304488589193,0.006623499605362128,0.03668135159657614,0.8106690601815492,1.7768323178191738
TIF UN Equity,251.0,0.0015835629264534005,0.019965925320346262,-0.05649303008070438,-0.008637275037720795,0.0015590200445434362,0.0138874137258738,0.07501720578114236,1.3445656620315103,1.79918967155542
AXP UN Equity,251.0,0.000403228240341595,0.02063986537152063,-0.08467741935483855,-0.010813626723492915,0.0005037783375313858,0.012614515282100138,0.06133004926108379,1.4265967641561486,1.7460963920201495
CHRW UW Equity,251.0,0.0012890950015178647,0.013348469347180512,-0.06757227446882623,-0.006143107713312746,0.001221001221001226,0.008361147949584735,0.05996732026143793,0.8169811145450901,1.4257275060386172
VIAB UN Equity,251.0,0.0012414099962759083,0.01621916966516122,-0.055931704445098575,-0.006792654808959158,0.0015379883112889654,0.010645898027056695,0.047145606157793424,1.1166793137946351,1.8166609653876526
FMC UN Equity,251.0,0.0014736700766974807,0.015239127946697552,-0.04353067390472012,-0.007215833633971977,0.0005886255762917376,0.010093771483463973,0.06476278611469884,1.0082966394701032,1.7475753661781541
OI UN Equity,251.0,-0.00016220640475663625,0.024274562935503934,-0.10355227882037533,-0.01163280085149028,0.0003373819163292176,0.01582244810089104,0.07684729064039408,1.5010014281695077,1.6803850189871667
1806854D UN Equity,251.0,-2.3713950127160494e-06,0.010888517904271248,-0.049138152817082496,-0.005101427999466175,-0.0002656395271617775,0.006105031039643839,0.03826674169949351,0.701739162096768,1.5801301359402504
PDCO UW Equity,251.0,0.00033902998693633953,0.013785950578763076,-0.052310654685494194,-0.006655161732820013,0.0,0.007503636983937171,0.044745762711864416,0.9387776137070499,1.7286395228333273
MAS UN Equity,251.0,-8.561100017985872e-05,0.02809513150104769,-0.13221871049304673,-0.01442472505840575,0.0008127153002891426,0.014436312227275927,0.1076164456586926,1.8431750757410899,1.533328065295526
COF UN Equity,251.0,0.0006209095048734604,0.023538375521087503,-0.12107728337236537,-0.013180565743069859,0.0016081479496112346,0.014012061918912577,0.0636846095526915,1.4523727450528434,1.6312334676973312
