,count,mean,std,min,25%,50%,75%,max,beta,entropy
USB UN Equity,250.0,0.0007339268974610514,0.006422595695227197,-0.02058029689608635,-0.003125732650828345,0.00032425544263390605,0.004706300905738386,0.03490401396160546,0.5519345692082722,1.5609874301825226
1684442D UN Equity,250.0,0.0010870861469472687,0.013373079506500248,-0.03211859172328606,-0.0072290193187086555,-0.00036233120524181673,0.007858119261322608,0.11777777777777777,1.0602114755708545,1.2237645219368753
PTC UW Equity,250.0,0.0007629309600879654,0.020064610893336544,-0.08064516129032262,-0.010614541832669296,0.0,0.010741494118324363,0.10014836795252223,1.577653479511926,1.494200438930057
KBH UN Equity,250.0,-0.0012975583199909518,0.0227759443562146,-0.06680244399185338,-0.016748535387778617,-0.004345726412534493,0.01130719082766694,0.06835319873510101,2.096874847950841,1.8910486376500606
PPG UN Equity,250.0,0.0004664578395871111,0.010924113542798427,-0.05090383224873478,-0.0062887507552387475,0.0007812078913019735,0.006755008179761408,0.04258350482824122,1.1008481059607018,1.5611264617831682
T UN Equity,250.0,0.0015367042092306119,0.0108264149010684,-0.03465523401214716,-0.004942926547156887,0.0008053224906487094,0.007647323835740982,0.042116630669546365,0.816496732372056,1.7450084682785734
HSY UN Equity,250.0,-0.0003294684841715248,0.01064815932727143,-0.04402277039848198,-0.005619537377894321,0.00018248175182484605,0.00636221549475253,0.029139871382636715,0.5032221732392521,1.7308598109960391
M UN Equity,250.0,0.0005732581992266252,0.016001360294102245,-0.04120814797471314,-0.008622602440505,0.0008314871844271553,0.009666573081598722,0.04860486048604874,1.3318777173468932,1.9180342512178992
1431816D UN Equity,250.0,0.0007041227134857795,0.025031053795028575,-0.13636363636363646,-0.01421381056404165,-0.0009111709979460061,0.01447057260528755,0.14131736526946104,1.6697556840388337,1.2459268964356673
2942331Q UN Equity,250.0,0.0014459399087141814,0.015341268510928919,-0.0630076671980565,-0.007516808635232769,0.0012752648292067479,0.01192437680608743,0.059259259259259255,1.8072026163533417,1.6468478679222607
0111145D UN Equity,250.0,0.0005609463880487695,0.008892375460252093,-0.023119980530542778,-0.004953755280137338,0.0002287284622751159,0.006227868379690577,0.023589743589743632,0.8615434885080058,2.038259364559458
1524867D UN Equity,250.0,-0.0008210429541535271,0.024698409835407827,-0.0585329711039764,-0.014832637792967708,-0.0015638420813727963,0.014363292659318579,0.06696716033483587,1.7871930395535407,2.069245164544211
TMO UN Equity,250.0,0.0016828195370292489,0.011976381462951841,-0.031312458361092685,-0.004305475715103415,0.0014210069160516844,0.007943601631554291,0.046346654055332254,0.9647948259981372,1.840675030597862
AON UN Equity,250.0,-9.736316045373534e-05,0.01501703132626793,-0.09452022014836076,-0.006478210407087418,-0.0004210847738656058,0.006778607212733695,0.09260321100917422,1.014605793609447,1.1305181106372708
CIEN UW Equity,250.0,0.0016469877212222435,0.03489038310993212,-0.10498687664041997,-0.02053787395079387,-0.0008050719777603358,0.023424632771387597,0.11498397435897426,2.5288474765571016,1.8681800617970594
MAR UN Equity,250.0,0.0014734933952209408,0.013287751257332633,-0.04602659222801738,-0.006155495873484565,0.001039428973340238,0.00926189472075416,0.06574367354248051,1.1888114883772511,1.5484913061796763
MHS UN Equity,250.0,-0.00012180559861685201,0.01713737263039834,-0.062137049941927876,-0.008981274890947247,-0.00017349825448413546,0.009513328742868319,0.06389088298636042,0.7072406605062925,1.7223912615508712
CMX UN Equity,250.0,0.0005148840416864236,0.0168184353380151,-0.06831662916751899,-0.008184756692443007,-0.000823370025402184,0.009236312300036503,0.10497017892644138,0.6729667578392702,1.3100908519963939
ABC UN Equity,250.0,0.0003200491030547702,0.012014200315873157,-0.06989237779472005,-0.005707467895667002,0.000238205758982939,0.006850983279587441,0.03644549623417816,0.7901059173431091,1.481105015039193
