Cluster,Cluster 0,Cluster 1,Cluster 10,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
Cluster 0,47,2,0,0,0,0,0,0,0,0,0
Cluster 1,3,66,0,6,1,1,0,0,0,0,0
Cluster 10,0,0,3,0,0,0,0,0,0,0,0
Cluster 2,0,3,0,28,1,0,1,26,0,0,0
Cluster 3,0,0,0,0,36,0,0,0,0,0,0
Cluster 4,0,0,0,0,0,34,0,0,0,0,0
Cluster 5,0,0,0,0,0,0,26,0,0,0,0
Cluster 6,0,47,0,3,0,0,0,0,4,4,0
Cluster 7,0,0,0,0,0,0,0,0,40,0,0
Cluster 8,0,2,0,0,0,0,0,0,0,70,0
Cluster 9,0,1,0,0,0,0,0,3,0,1,40
