Cluster,Cluster 0,Cluster 1,Cluster 10,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
Cluster 0,49,53,0,0,1,0,0,0,0,0,0
Cluster 1,0,62,0,3,0,0,0,0,4,5,0
Cluster 10,1,0,3,0,0,0,0,0,0,0,0
Cluster 2,0,0,0,34,0,0,0,0,0,0,0
Cluster 3,0,3,0,0,37,0,0,0,0,0,0
Cluster 4,0,1,0,0,0,35,0,0,0,0,0
Cluster 5,0,0,0,0,0,0,27,0,0,0,0
Cluster 6,0,0,0,0,0,0,0,29,0,0,0
Cluster 7,0,0,0,0,0,0,0,0,40,0,0
Cluster 8,0,1,0,0,0,0,0,0,0,70,0
Cluster 9,0,1,0,0,0,0,0,0,0,0,40
